action,mean_prob_on_disagreement_states,mean_A_hat,mean_Q_hat,n
scaffold,0.44795188272283193,-1.5186478858157588,3.8501865961047557,105
encouragement,0.21847732880940804,-1.646814616794501,3.6933143080259483,91
simplify_problem,0.13032724416774252,-1.542229240893117,3.896658391518342,92
harder_problem,0.050353795064923663,-1.6358161334289698,3.7604545748140827,120
no_action,0.05140399214966843,-1.611597118316501,3.784673589926551,120
