algorithm,seed,eval_episodes,dqn_checkpoint,learning_gain,success_rate,adaptation_accuracy,mean_episode_reward,dropout_rate,action_entropy,dominant_action_pct,freq_hint,freq_scaffold,freq_encouragement,freq_simplify_problem,freq_harder_problem,freq_break,freq_explanation,freq_no_action,configuration,configuration_label,population_mode,gain_ratio
DQN,13,500,/Users/mayoy/Documents/GitHub/AI-Driven-Emotion-Recognition-for-Adaptive-Learning-/RL_Module/models/combined_E_full_stability_s13/dqn_10000_steps.zip,0.6734361999999998,0.378,0.7000040165481785,2.2199752482607753,0.0,1.26089031753647,0.4343093545407077,0.0468329517612563,0.4343093545407077,0.0114873277904968,0.0009238060810539,0.2656946620074707,0.0002811583724946,0.2404305739647347,4.016548178495401e-05,A_stable_canonical,A: Most Stable Thesis System,single_canonical,10:1
DQN,21,500,/Users/mayoy/Documents/GitHub/AI-Driven-Emotion-Recognition-for-Adaptive-Learning-/RL_Module/models/combined_E_full_stability_s21/dqn_10000_steps.zip,0.6609122,0.366,0.7232810615199035,2.327513184754922,0.0,1.3051560192879703,0.4800562927221552,0.0348210695617209,0.4800562927221552,0.0001608363490148,0.0665460394049055,0.2432247687977483,0.0004020908725371,0.1744672295938882,0.0003216726980297,A_stable_canonical,A: Most Stable Thesis System,single_canonical,10:1
DQN,99,500,/Users/mayoy/Documents/GitHub/AI-Driven-Emotion-Recognition-for-Adaptive-Learning-/RL_Module/models/combined_E_full_stability_s99/dqn_50000_steps.zip,0.5538780000000001,0.176,0.6575732083483555,1.9374269486851423,0.0,1.312487461998406,0.499979970356127,0.0185474502263349,0.499979970356127,0.0403797620478307,0.0,0.1575932379922285,0.2443616552497696,0.039137924127709,0.0,A_stable_canonical,A: Most Stable Thesis System,single_canonical,10:1
DQN,314,500,/Users/mayoy/Documents/GitHub/AI-Driven-Emotion-Recognition-for-Adaptive-Learning-/RL_Module/models/combined_E_full_stability_s314/dqn_10000_steps.zip,0.5445974,0.142,0.4990596614781321,2.176733342471025,0.0,0.9151519122906906,0.4991396902885038,0.4442799407786803,0.4991396902885038,0.0,8.002881037173383e-05,0.0,0.0022408066904085,0.0349325757272618,0.0193269577047737,A_stable_canonical,A: Most Stable Thesis System,single_canonical,10:1
DQN,555,500,/Users/mayoy/Documents/GitHub/AI-Driven-Emotion-Recognition-for-Adaptive-Learning-/RL_Module/models/final_thesis_A_stable_canonical_s555/dqn_20000_steps.zip,0.4840185999999999,0.078,0.4643714971977582,2.554769724996644,0.0,1.2657431252304567,0.4610888710968775,0.0001200960768614,0.4610888710968775,0.1178943154523618,0.0,0.0032826261008807,0.14919935948759,0.2684147317854283,0.0,A_stable_canonical,A: Most Stable Thesis System,single_canonical,10:1
DQN,777,500,/Users/mayoy/Documents/GitHub/AI-Driven-Emotion-Recognition-for-Adaptive-Learning-/RL_Module/models/final_thesis_A_stable_canonical_s777/dqn_10000_steps.zip,0.6542252,0.316,0.7555823293172691,2.1973549329327655,0.0,1.2900175584435711,0.4947389558232932,0.0848192771084337,0.4947389558232932,0.0021285140562248,0.0068273092369477,0.2608433734939759,0.0010441767068273,0.136867469879518,0.0127309236947791,A_stable_canonical,A: Most Stable Thesis System,single_canonical,10:1
DQN,888,500,/Users/mayoy/Documents/GitHub/AI-Driven-Emotion-Recognition-for-Adaptive-Learning-/RL_Module/models/final_thesis_A_stable_canonical_s888/dqn_30000_steps.zip,0.6983456,0.434,0.8018108651911469,1.7446138036203034,0.0,1.0463608429629048,0.5039034205231389,8.048289738430584e-05,0.297907444668008,0.0006438631790744,0.0027364185110663,0.5039034205231389,0.0,0.1947283702213279,0.0,A_stable_canonical,A: Most Stable Thesis System,single_canonical,10:1
DQN,999,500,/Users/mayoy/Documents/GitHub/AI-Driven-Emotion-Recognition-for-Adaptive-Learning-/RL_Module/models/final_thesis_A_stable_canonical_s999/dqn_10000_steps.zip,0.5753948,0.224,0.6171254313457989,2.5410705863486793,0.0,1.426432798358937,0.4851536794799775,0.0418906989808201,0.4851536794799775,0.0980258406227429,0.0056576518738464,0.1319717518658213,0.0019260091485434,0.2164352780675708,0.0189390899606773,A_stable_canonical,A: Most Stable Thesis System,single_canonical,10:1
Rule,42,500,,0.4882756,0.096,0.3687014339501722,1.860194405645843,0.0,1.9045044595959544,0.2501001361852119,0.2239045101337819,0.2501001361852119,0.1365457021549307,0.0262356805255147,0.1139549787711287,0.0622045982536249,0.0662501001361852,0.1208042938396218,A_stable_canonical,A: Most Stable Thesis System,single_canonical,10:1
Rule,7,500,,0.4911516,0.098,0.3678893565844858,1.877571440407763,0.0,1.8986388509354788,0.250912006414111,0.2262176788935658,0.250912006414111,0.1353778312287031,0.0256163559831629,0.1125275606333934,0.0590499098015634,0.065143315293646,0.125155341751854,A_stable_canonical,A: Most Stable Thesis System,single_canonical,10:1
Rule,13,500,,0.4952468,0.096,0.3675275275275275,1.8862254424294869,0.0,1.897354675524104,0.2516916916916917,0.2262662662662662,0.2516916916916917,0.1360960960960961,0.025065065065065,0.1117517517517517,0.0606606606606606,0.0638238238238238,0.1246446446446446,A_stable_canonical,A: Most Stable Thesis System,single_canonical,10:1
Rule,21,500,,0.4980639999999999,0.12,0.3719057918769526,1.8953898120445472,0.0,1.8989588399828232,0.2515020427781783,0.2219818953777136,0.2515020427781783,0.1325002002723704,0.0249138828807177,0.116037811423536,0.0592005126972682,0.0634462869502523,0.1304173676199631,A_stable_canonical,A: Most Stable Thesis System,single_canonical,10:1
Rule,99,500,,0.4963216,0.098,0.3657843097993672,1.8728218902492824,0.0,1.9029141339977,0.2500500580673581,0.2240999559489007,0.2500500580673581,0.1357174322213768,0.0255896840334788,0.1113691882583797,0.0623523287012935,0.0655159985583276,0.1253053542108846,A_stable_canonical,A: Most Stable Thesis System,single_canonical,10:1
Rule,314,500,,0.4835226,0.084,0.3627450980392157,1.879896346665222,0.0,1.9008262028079304,0.2490996398559423,0.2216486594637855,0.2490996398559423,0.1361344537815126,0.0247298919567827,0.1094837935174069,0.0586234493797519,0.0663065226090436,0.1339735894357743,A_stable_canonical,A: Most Stable Thesis System,single_canonical,10:1
