configuration,action_entropy_mean,action_entropy_std,actions_used_mean,actions_used_std,dominance_any_seed,hint_mean_freq,scaffold_mean_freq,encouragement_mean_freq,simplify_problem_mean_freq,harder_problem_mean_freq,break_mean_freq,explanation_mean_freq,no_action_mean_freq
baseline_weights,1.4125,0.197,5.3333,0.5164,False,0.0287,0.3193,0.1309,0.066,0.1374,0.093,0.0726,0.152
equal_weights,1.4597,0.254,5.1667,1.472,False,0.0134,0.3517,0.166,0.0647,0.037,0.1091,0.1767,0.0814
