configuration,learning_gain_mean,learning_gain_std,success_rate_mean,adaptation_accuracy_mean,reward_mean,action_entropy,actions_used,rank
baseline_weights,0.3846,0.172,0.1483,0.4569,3.3788,1.4125,5.3333,1
equal_weights,0.3614,0.0609,0.06,0.3887,0.9313,1.4597,5.1667,2
