config_id,seed,train_timesteps,eval_episodes,elapsed_seconds,learning_rate,batch_size,n_steps,clip_range,ent_coef,n_epochs,mean_episode_reward,success_rate,learning_gain,final_knowledge,adaptation_accuracy,mean_delta_k_per_step,p_correct,mean_engagement,mean_frustration,comfort_action_fraction,challenge_action_fraction,action_diversity_shannon,dominance_detected,action_frequencies,dominant_actions,is_baseline
b783ec41f515,42,50000,1000,57.2,0.001,128,2048,0.2,0.1,5,3.2709550144433157,0.002,0.17459132531854987,0.42962054443065256,0.20796000000000003,0.0025617142178081987,0.54428,0.5868994299804428,0.18925857669183152,0.20296,0.22508,1.3094083665602831,False,"{'hint': 0.0, 'scaffold': 0.192, 'encouragement': 0.0685, 'simplify_problem': 0.0923, 'harder_problem': 0.0159, 'break': 0.0422, 'explanation': 0.0172, 'no_action': 0.5719}",[],False
d4d8bdceb315,42,50000,1000,51.3,0.001,128,2048,0.3,0.001,3,3.5570925807429083,0.053,0.3542099792795378,0.5510515921216409,0.5045463065271875,0.0049961306832205015,0.425633735132754,0.5748020033344372,0.16361863279652888,0.4955548436185976,0.5044451563814024,1.0618186612752722,False,"{'hint': 0.0, 'scaffold': 0.4999, 'encouragement': 0.2592, 'simplify_problem': 0.0, 'harder_problem': 0.0045, 'break': 0.2364, 'explanation': 0.0, 'no_action': 0.0}",[],False
0090de99d08c,42,50000,1000,57.7,0.001,128,2048,0.3,0.001,5,3.521229466987799,0.018,0.3277872836179929,0.5341974029985754,0.4521155555555556,0.00465371676084274,0.4469046904690469,0.579611531944888,0.16985289638999582,0.4275227522752275,0.4521252125212521,1.3129988484179336,False,"{'hint': 0.0, 'scaffold': 0.4512, 'encouragement': 0.2568, 'simplify_problem': 0.0114, 'harder_problem': 0.0009, 'break': 0.1594, 'explanation': 0.0, 'no_action': 0.1204}",[],False
fc3a6cbff44d,42,50000,1000,70.6,0.001,128,2048,0.2,0.1,10,3.202726597601819,0.009,0.2140464880484148,0.4543417584552641,0.19188000000000002,0.0030561384983004295,0.61034,0.5763148680276233,0.17946400124452427,0.44056,0.23637999999999998,1.8908077481099197,False,"{'hint': 0.0557, 'scaffold': 0.1138, 'encouragement': 0.2057, 'simplify_problem': 0.1807, 'harder_problem': 0.078, 'break': 0.0542, 'explanation': 0.0445, 'no_action': 0.2674}",[],False
e613c3fa86b6,42,50000,1000,51.7,0.001,128,2048,0.3,0.01,3,3.4898210596303243,0.15,0.4013538232711544,0.5779796723801172,0.609850289509476,0.005547981834307507,0.5453560247250542,0.5825096632857756,0.18498170893756,0.3983904631933853,0.6016095368066148,1.263982175001067,False,"{'hint': 0.0, 'scaffold': 0.4969, 'encouragement': 0.2599, 'simplify_problem': 0.119, 'harder_problem': 0.1047, 'break': 0.0195, 'explanation': 0.0, 'no_action': 0.0}",[],False
d856760fa1c0,42,50000,1000,57.5,0.001,128,2048,0.3,0.01,5,3.5423706612809367,0.089,0.37282036028132665,0.5595447162370719,0.40643772835094116,0.0051670181178521506,0.5294388592942685,0.5748496271487689,0.1826936278494713,0.35514879641126285,0.6129891456722875,1.5202651252616743,False,"{'hint': 0.0, 'scaffold': 0.3864, 'encouragement': 0.2592, 'simplify_problem': 0.0588, 'harder_problem': 0.02, 'break': 0.0372, 'explanation': 0.2066, 'no_action': 0.0319}",[],False
c13ce8d3a750,42,50000,1000,69.9,0.001,128,2048,0.3,0.001,10,3.5858265344679503,0.089,0.38317508031349334,0.5685430867848856,0.49410913128099115,0.005347544676546494,0.499589433418117,0.5755675339095222,0.17947379269765318,0.3403697102000761,0.6144679657927941,1.4184310762745453,False,"{'hint': 0.0, 'scaffold': 0.4885, 'encouragement': 0.2312, 'simplify_problem': 0.0297, 'harder_problem': 0.0057, 'break': 0.0795, 'explanation': 0.1203, 'no_action': 0.0452}",[],False
d7dd7c4936a3,42,50000,1000,51.3,0.001,128,2048,0.3,0.05,3,3.344553982299347,0.092,0.2934965239609749,0.5029646742783038,0.3609056846896703,0.004033921591261689,0.5708335002202908,0.5738149222629695,0.16693778274110008,0.6353786998838467,0.3605559338326591,1.6079337805569969,False,"{'hint': 0.0041, 'scaffold': 0.2318, 'encouragement': 0.2405, 'simplify_problem': 0.1866, 'harder_problem': 0.1288, 'break': 0.2082, 'explanation': 0.0, 'no_action': 0.0}",[],False
305977a4904f,42,50000,1000,56.5,0.001,128,2048,0.3,0.05,5,3.182757274459902,0.001,0.02874355990540211,0.3276240419267888,0.0122,0.0005217841677309235,0.49198,0.5938474185200816,0.17886323099943155,0.42208,0.01232,1.1484533118755471,False,"{'hint': 0.0, 'scaffold': 0.0104, 'encouragement': 0.2515, 'simplify_problem': 0.0934, 'harder_problem': 0.0018, 'break': 0.0771, 'explanation': 0.0001, 'no_action': 0.5656}",[],False
35ee418d1efb,42,50000,1000,70.3,0.001,128,2048,0.3,0.01,10,3.410032964449833,0.053,0.3275473149873101,0.5300838176617267,0.4599771670604501,0.004576379810606194,0.6213531967721911,0.5763047555707727,0.1810901022000408,0.43725596203520156,0.51781101700006,1.6261925034767188,False,"{'hint': 0.0188, 'scaffold': 0.4162, 'encouragement': 0.2296, 'simplify_problem': 0.1471, 'harder_problem': 0.0438, 'break': 0.0606, 'explanation': 0.0579, 'no_action': 0.0261}",[],False
ad85a9efeb17,42,50000,1000,51.5,0.001,128,2048,0.3,0.1,3,3.2695695920781307,0.006,0.17912241843482188,0.4306129384572424,0.21452000000000004,0.002581562098339996,0.5828,0.5709579725171199,0.15820472991927811,0.5834999999999999,0.21452000000000002,1.6818643095056038,False,"{'hint': 0.0151, 'scaffold': 0.202, 'encouragement': 0.2396, 'simplify_problem': 0.1131, 'harder_problem': 0.0125, 'break': 0.2309, 'explanation': 0.0, 'no_action': 0.1869}",[],False
6415191a0321,42,50000,1000,57.5,0.001,128,2048,0.3,0.1,5,3.0928917984599336,0.002,0.007392147969445836,0.3110044602286332,0.0019000000000000002,0.00018939253376781302,0.44634,0.5949164001066781,0.19404786652152325,0.18833999999999998,0.00174,0.7496025352386146,True,"{'hint': 0.0156, 'scaffold': 0.0012, 'encouragement': 0.1087, 'simplify_problem': 0.0576, 'harder_problem': 0.0005, 'break': 0.022, 'explanation': 0.0, 'no_action': 0.7943}",['no_action'],False
0a7d4fe2e050,42,50000,1000,70.5,0.001,128,2048,0.3,0.05,10,3.426501686891043,0.04,0.324689596411964,0.5302095865704223,0.47020784411637,0.004574318437922419,0.5798843791882539,0.5791245790953737,0.1873608332924921,0.2559860774939489,0.4890480286451562,1.526393340430268,False,"{'hint': 0.0474, 'scaffold': 0.4519, 'encouragement': 0.1621, 'simplify_problem': 0.0839, 'harder_problem': 0.0158, 'break': 0.01, 'explanation': 0.0214, 'no_action': 0.2076}",[],False
ea2b7c83b46b,42,50000,1000,52.2,0.001,128,4096,0.1,0.001,3,3.357281225255326,0.077,0.3608500487535811,0.5544982980045008,0.5413450389015468,0.005066057806746205,0.6539162477720145,0.5742096439745302,0.1863193726788985,0.3581198806400577,0.6418801193599423,1.3700350886052608,False,"{'hint': 0.0, 'scaffold': 0.4799, 'encouragement': 0.1891, 'simplify_problem': 0.169, 'harder_problem': 0.0614, 'break': 0.0, 'explanation': 0.1006, 'no_action': 0.0}",[],False
5ae36433d383,42,50000,1000,58.6,0.001,128,4096,0.1,0.001,5,3.354039857290758,0.077,0.3493239966614145,0.5463316866858932,0.5631598500930619,0.004902408241792174,0.6401249649537389,0.5780275563277552,0.18460178467159116,0.4352745624223976,0.5647254375776024,1.281732544563982,False,"{'hint': 0.0, 'scaffold': 0.4871, 'encouragement': 0.2294, 'simplify_problem': 0.1876, 'harder_problem': 0.076, 'break': 0.0183, 'explanation': 0.0016, 'no_action': 0.0}",[],False
53ab3e2642d0,42,50000,1000,70.9,0.001,128,2048,0.3,0.1,10,3.1951931625992995,0.015,0.27253060090641273,0.4962797134021802,0.1954191362126246,0.0038966121065656407,0.6235143463123775,0.5664803793500507,0.18017377273990476,0.46068270038817083,0.35491616311176916,1.9906365276140265,False,"{'hint': 0.0616, 'scaffold': 0.0716, 'encouragement': 0.1723, 'simplify_problem': 0.2186, 'harder_problem': 0.1239, 'break': 0.0698, 'explanation': 0.1595, 'no_action': 0.1228}",[],False
79d256d8b982,42,50000,1000,52.7,0.001,128,4096,0.1,0.01,3,3.3075130742791363,0.046,0.3120947817268166,0.520913998917641,0.43266622373196706,0.004392854733227844,0.6461553864637565,0.5755565326545745,0.1808613233158103,0.4232478974769724,0.4822186623948739,1.6414723378492793,False,"{'hint': 0.0, 'scaffold': 0.3609, 'encouragement': 0.2181, 'simplify_problem': 0.1894, 'harder_problem': 0.0717, 'break': 0.0158, 'explanation': 0.0496, 'no_action': 0.0945}",[],False
fa90ea320fab,42,50000,1000,58.1,0.001,128,4096,0.1,0.01,5,3.2895928235523533,0.055,0.33127883018841,0.5350787413298208,0.5252938383838385,0.004673775896847609,0.6523644659689007,0.5766064045447199,0.1825434383814744,0.4671496327723188,0.5254858011967419,1.3590720493243336,False,"{'hint': 0.0, 'scaffold': 0.454, 'encouragement': 0.2344, 'simplify_problem': 0.1995, 'harder_problem': 0.0713, 'break': 0.0332, 'explanation': 0.0001, 'no_action': 0.0074}",[],False
d73db422105c,42,50000,1000,71.7,0.001,128,4096,0.1,0.001,10,3.35798017807755,0.062,0.31791285774850336,0.5239123833691545,0.5125883946066465,0.00445334033901896,0.6408731350755983,0.5777477823784537,0.17722113122894642,0.48747371583057975,0.5125262841694203,1.3468194001339866,False,"{'hint': 0.0, 'scaffold': 0.4692, 'encouragement': 0.2364, 'simplify_problem': 0.1535, 'harder_problem': 0.0434, 'break': 0.0976, 'explanation': 0.0, 'no_action': 0.0}",[],False
ec01b864577c,42,50000,1000,52.1,0.001,128,4096,0.1,0.05,3,3.3329553016837816,0.075,0.349078439411036,0.5455289115428695,0.5543176879617094,0.004886331517655846,0.64180718548484,0.57840509122082,0.18494493262121367,0.4370168622581808,0.5610806264268835,1.2707010038190123,False,"{'hint': 0.0008, 'scaffold': 0.4712, 'encouragement': 0.2423, 'simplify_problem': 0.1947, 'harder_problem': 0.083, 'break': 0.0, 'explanation': 0.0069, 'no_action': 0.0011}",[],False
f988c78fe97d,42,50000,1000,58.4,0.001,128,4096,0.1,0.05,5,3.3241170353195586,0.059,0.3341817432405927,0.5359979268100626,0.5090395509121641,0.004695459872428005,0.6439900668882925,0.5752236679730874,0.18142968994872924,0.4454880442183683,0.5202867785476829,1.5241392176129733,False,"{'hint': 0.0, 'scaffold': 0.4164, 'encouragement': 0.2115, 'simplify_problem': 0.1956, 'harder_problem': 0.0926, 'break': 0.0384, 'explanation': 0.0113, 'no_action': 0.0342}",[],False
c84a3bfd603c,42,50000,1000,74.2,0.001,128,4096,0.1,0.01,10,3.449789266327804,0.046,0.31578265867185246,0.5233618626239336,0.49524771269329404,0.004441337225877767,0.5878949265206423,0.577366259000116,0.17179111946384445,0.4692267649060986,0.48870780442878303,1.366289455707136,False,"{'hint': 0.0, 'scaffold': 0.476, 'encouragement': 0.2555, 'simplify_problem': 0.0908, 'harder_problem': 0.0127, 'break': 0.1229, 'explanation': 0.0, 'no_action': 0.0421}",[],False
7f7f1b39b996,42,50000,1000,52.0,0.001,128,4096,0.1,0.1,3,3.3762202071676604,0.128,0.376399182592044,0.5620197891812732,0.5243549535165637,0.005225165603005505,0.6098050228676883,0.5750623728137345,0.18472794044259824,0.420504693893926,0.568262055684827,1.5960116673443543,False,"{'hint': 0.0, 'scaffold': 0.3695, 'encouragement': 0.1775, 'simplify_problem': 0.2079, 'harder_problem': 0.1543, 'break': 0.0351, 'explanation': 0.0444, 'no_action': 0.0112}",[],False
3275c53f3523,42,50000,1000,58.2,0.001,128,4096,0.1,0.1,5,3.320648502454825,0.033,0.32532966875027775,0.5318365998922973,0.49897471764577356,0.004608155078377148,0.6466174440242511,0.5762865182565122,0.1811012533201962,0.4383616463573244,0.5055325449706866,1.4852893020586122,False,"{'hint': 0.0, 'scaffold': 0.4155, 'encouragement': 0.2332, 'simplify_problem': 0.19, 'harder_problem': 0.0836, 'break': 0.0152, 'explanation': 0.0065, 'no_action': 0.0561}",[],False
