model,reward,reward_std,learning_gain,learning_gain_std,adaptation_accuracy,adaptation_accuracy_std,n_seeds
PPO (emotion-aware),3.59618993,0.11166993274263474,0.41911291000000006,0.011749902926544622,0.3135474800000001,0.02067780142432944,10
PPO (no emotion),3.1766383100000004,0.5084575644509086,0.5034197199999999,0.04577051904567687,0.28565816,0.06466961339473808,10
