configuration,configuration_label,use_zone_bonus,n_seeds,learning_gain_mean,learning_gain_std,coefficient_of_variation,seed_range,learning_gain_ci,best_seed,worst_seed,best_seed_lg,worst_seed_lg,final_knowledge_mean,final_knowledge_std,success_rate_mean,success_rate_std,adaptation_accuracy_mean,adaptation_accuracy_std,mean_episode_reward_mean,mean_episode_reward_std,dropout_rate_mean,dropout_rate_std
A_zone_bonus_on,Zone Bonus ON (A),True,2,0.4156,0.0247,0.0595,0.0349,"[0.381, 0.450]",42,7,0.433,0.3981,0.5963,0.0151,0.11,0.0453,0.482,0.0415,7.2474,0.3745,0.0,0.0
B_zone_bonus_off,Zone Bonus OFF (B),False,2,0.5208,0.0389,0.0747,0.055,"[0.467, 0.575]",7,42,0.5483,0.4933,0.6701,0.0298,0.218,0.0141,0.5406,0.0339,3.2684,0.0063,0.0,0.0
