configuration,learning_gain_mean,learning_gain_std,success_rate_mean,adaptation_accuracy_mean,reward_mean,action_entropy,dominant_action_pct,rank
A_zone_bonus_on,0.4156,0.0247,0.11,0.482,7.2474,1.5882,0.3501,1
B_zone_bonus_off,0.5208,0.0389,0.218,0.5406,3.2684,1.482,0.3889,2
