configuration,configuration_label,population_mode,seed,train_timesteps,eval_episodes,use_checkpoints,selection,val_learning_gain,gain_ratio,irt_beta,elapsed_seconds,imported_from,wk,we,wf,wb,wc,learning_gain,final_knowledge,success_rate,adaptation_accuracy,mean_episode_reward,dropout_rate,action_entropy,actions_used_above_1_percent,actions_used_above_5_percent,dominant_action_pct,top2_actions_pct,dominance_detected,freq_hint,freq_scaffold,freq_encouragement,freq_simplify_problem,freq_harder_problem,freq_break,freq_explanation,freq_no_action
B_realistic_mixed,B: Best Realistic Thesis System,mixed,99,50000,500,True,checkpoint@/Users/mayoy/Documents/GitHub/AI-Driven-Emotion-Recognition-for-Adaptive-Learning-/RL_Module/models/combined_D_reward_and_gains_s99/dqn_10000_steps.zip,0.5643618304578214,10:1,3.0,25.0,/Users/mayoy/Documents/GitHub/AI-Driven-Emotion-Recognition-for-Adaptive-Learning-/RL_Module/figures/combined_improvement_validation/combined_results.csv,0.35,0.2,0.15,0.15,0.15,0.5528046787415917,0.6921947253112488,0.302,0.6575659725248905,2.0779705773719845,0.0,1.1806444564714562,4,3,0.4499394428744449,0.7569236980218006,False,0.00327,0.206944,0.000323,0.306984,0.449939,0.0,0.0,0.032539
B_realistic_mixed,B: Best Realistic Thesis System,mixed,314,50000,500,True,checkpoint@/Users/mayoy/Documents/GitHub/AI-Driven-Emotion-Recognition-for-Adaptive-Learning-/RL_Module/models/combined_D_reward_and_gains_s314/dqn_40000_steps.zip,0.4808481760535761,10:1,3.0,24.8,/Users/mayoy/Documents/GitHub/AI-Driven-Emotion-Recognition-for-Adaptive-Learning-/RL_Module/figures/combined_improvement_validation/combined_results.csv,0.35,0.2,0.15,0.15,0.15,0.4798009085051101,0.6409171522827326,0.2,0.3390849003794786,2.0606496622428376,0.0,1.7430400845608531,7,6,0.2891808284118757,0.4976497529227431,False,0.013499,0.133823,0.074967,0.071833,0.20417,0.004058,0.289181,0.208469
A_stable_canonical,A: Most Stable Thesis System,single_canonical,555,50000,500,True,checkpoint@/Users/mayoy/Documents/GitHub/AI-Driven-Emotion-Recognition-for-Adaptive-Learning-/RL_Module/models/final_thesis_A_stable_canonical_s555/dqn_20000_steps.zip,0.4798015689379554,10:1,3.0,29.6,,0.35,0.2,0.15,0.15,0.15,0.4840189760099964,0.6401635176242885,0.078,0.4643873684210526,2.554769724996644,0.0,1.2657431252304567,4,4,0.4610888710968775,0.7295036028823059,False,0.00012,0.461089,0.117894,0.0,0.003283,0.149199,0.268415,0.0
A_stable_canonical,A: Most Stable Thesis System,single_canonical,777,50000,500,True,checkpoint@/Users/mayoy/Documents/GitHub/AI-Driven-Emotion-Recognition-for-Adaptive-Learning-/RL_Module/models/final_thesis_A_stable_canonical_s777/dqn_10000_steps.zip,0.6517996759806014,10:1,3.0,30.5,,0.35,0.2,0.15,0.15,0.15,0.6542231831434363,0.7551620950064913,0.316,0.7559290345204394,2.1973549329327655,0.0,1.2900175584435711,5,4,0.4947389558232932,0.7555823293172691,False,0.084819,0.494739,0.002129,0.006827,0.260843,0.001044,0.136867,0.012731
A_stable_canonical,A: Most Stable Thesis System,single_canonical,888,50000,500,True,checkpoint@/Users/mayoy/Documents/GitHub/AI-Driven-Emotion-Recognition-for-Adaptive-Learning-/RL_Module/models/final_thesis_A_stable_canonical_s888/dqn_30000_steps.zip,0.7076768354948029,10:1,3.0,30.3,,0.35,0.2,0.15,0.15,0.15,0.6983462297841417,0.7896395195598075,0.434,0.8021829243490868,1.7446138036203034,0.0,1.0463608429629048,3,3,0.5039034205231389,0.8018108651911469,False,8e-05,0.297907,0.000644,0.002736,0.503903,0.0,0.194728,0.0
A_stable_canonical,A: Most Stable Thesis System,single_canonical,999,50000,500,True,checkpoint@/Users/mayoy/Documents/GitHub/AI-Driven-Emotion-Recognition-for-Adaptive-Learning-/RL_Module/models/final_thesis_A_stable_canonical_s999/dqn_10000_steps.zip,0.575617964699052,10:1,3.0,29.8,,0.35,0.2,0.15,0.15,0.15,0.5753930238735768,0.7017796077353118,0.224,0.6177294825569756,2.5410705863486793,0.0,1.426432798358937,6,4,0.4851536794799775,0.7015889575475484,False,0.041891,0.485154,0.098026,0.005658,0.131972,0.001926,0.216435,0.018939
B_realistic_mixed,B: Best Realistic Thesis System,mixed,555,50000,500,True,checkpoint@/Users/mayoy/Documents/GitHub/AI-Driven-Emotion-Recognition-for-Adaptive-Learning-/RL_Module/models/final_thesis_B_realistic_mixed_s555/dqn_10000_steps.zip,0.4282314148902334,10:1,3.0,30.6,,0.35,0.2,0.15,0.15,0.15,0.463328982088392,0.6215745299705022,0.158,0.5366396853560234,2.494966304876338,0.0,1.3276140600437851,5,5,0.4860315042687081,0.7298488917391479,False,0.063329,0.486032,0.243817,0.003447,0.050463,0.0,0.152832,8e-05
B_realistic_mixed,B: Best Realistic Thesis System,mixed,777,50000,500,True,checkpoint@/Users/mayoy/Documents/GitHub/AI-Driven-Emotion-Recognition-for-Adaptive-Learning-/RL_Module/models/final_thesis_B_realistic_mixed_s777/dqn_40000_steps.zip,0.5509511754174592,10:1,3.0,29.9,,0.35,0.2,0.15,0.15,0.15,0.5253083412779362,0.6641121112885687,0.224,0.7313429008052299,2.3518852620494695,0.0,1.2955925241541382,5,4,0.5001205109664979,0.7310998634209046,False,0.002932,0.500121,0.085081,0.154857,0.230979,0.0,0.0,0.02603
B_realistic_mixed,B: Best Realistic Thesis System,mixed,888,50000,500,True,checkpoint@/Users/mayoy/Documents/GitHub/AI-Driven-Emotion-Recognition-for-Adaptive-Learning-/RL_Module/models/final_thesis_B_realistic_mixed_s888/dqn_10000_steps.zip,0.6257472160111829,10:1,3.0,30.1,,0.35,0.2,0.15,0.15,0.15,0.6096829479677875,0.7289415911550581,0.39,0.7505759685964501,2.050118077092753,0.0,1.3853229432916183,6,4,0.4042984590429846,0.7492700729927008,False,0.115896,0.404298,0.022547,0.0,0.344972,0.01987,0.087632,0.004785
B_realistic_mixed,B: Best Realistic Thesis System,mixed,999,50000,500,True,checkpoint@/Users/mayoy/Documents/GitHub/AI-Driven-Emotion-Recognition-for-Adaptive-Learning-/RL_Module/models/final_thesis_B_realistic_mixed_s999/dqn_30000_steps.zip,0.5796873750651408,10:1,3.0,29.9,,0.35,0.2,0.15,0.15,0.15,0.5594528307370117,0.69116347375181,0.312,0.6567448793100229,2.156195549477852,0.0,1.4820391380645217,6,5,0.4252539912917271,0.6557813255926463,False,0.0,0.425254,0.096275,0.000242,0.230527,0.016368,0.154814,0.07652
