configuration,configuration_label,population_mode,n_seeds,learning_gain_mean,learning_gain_std,coefficient_of_variation,seed_range,learning_gain_ci_95,best_seed,worst_seed,best_seed_lg,worst_seed_lg,shannon_entropy_mean,shannon_entropy_std,dominant_action_pct_mean,dominant_action_pct_std,top2_actions_pct_mean,actions_used_above_1_percent_mean,actions_used_above_5_percent_mean,final_knowledge_mean,final_knowledge_std,final_knowledge_ci_95,success_rate_mean,success_rate_std,success_rate_ci_95,adaptation_accuracy_mean,adaptation_accuracy_std,adaptation_accuracy_ci_95,mean_episode_reward_mean,mean_episode_reward_std,mean_episode_reward_ci_95,dropout_rate_mean,dropout_rate_std,dropout_rate_ci_95
A_stable_canonical,A: Most Stable Thesis System,single_canonical,10,0.6023,0.0679,0.1127,0.2143,"[0.560, 0.644]",888,555,0.6983,0.484,1.2906,0.1966,0.4514,0.0687,0.7305,4.8,3.7,0.724,0.047,"[0.695, 0.753]",0.2476,0.1182,"[0.174, 0.321]",0.6098,0.1405,"[0.523, 0.697]",2.1916,0.2624,"[2.029, 2.354]",0.0,0.0,"[0.000, 0.000]"
B_realistic_mixed,B: Best Realistic Thesis System,mixed,10,0.5484,0.0614,0.1119,0.1819,"[0.510, 0.586]",13,555,0.6452,0.4633,1.3661,0.3125,0.4193,0.1218,0.6979,5.3,4.2,0.6864,0.0441,"[0.659, 0.714]",0.295,0.0981,"[0.234, 0.356]",0.6445,0.1893,"[0.527, 0.762]",2.0311,0.35,"[1.814, 2.248]",0.0,0.0,"[0.000, 0.000]"
