probe_id,action,Q_hat,V_s,A_hat,prob,logit,ppo_action,dqn_action,harder_available
0,hint,5.768581108716336,4.9541916847229,0.8143894239934353,0.01772911474108696,-4.0325469970703125,encouragement,scaffold,1
0,scaffold,5.505531837538728,4.9541916847229,0.5513401528158273,0.10598468780517578,-2.2444605827331543,encouragement,scaffold,1
0,encouragement,5.8236629279218235,4.9541916847229,0.8694712431989231,0.35231447219848633,-1.0432310104370117,encouragement,scaffold,1
0,simplify_problem,5.861710926677137,4.9541916847229,0.9075192419542368,0.02972126007080078,-3.515892505645752,encouragement,scaffold,1
0,harder_problem,5.414703122081048,4.9541916847229,0.46051143735814737,0.05491752177476883,-2.9019227027893066,encouragement,scaffold,1
0,break,5.569130721242825,4.9541916847229,0.6149390365199245,0.12293388694524765,-2.0961084365844727,encouragement,scaffold,1
0,explanation,5.764737365379922,4.9541916847229,0.8105456806570217,0.0699259489774704,-2.660318374633789,encouragement,scaffold,1
0,no_action,5.511628263436092,4.9541916847229,0.5574365787131912,0.24647314846515656,-1.40050208568573,encouragement,scaffold,1
1,hint,5.465517481487704,4.939968109130859,0.5255493723568447,0.01068032905459404,-4.539351463317871,no_action,scaffold,1
1,scaffold,5.600249304742927,4.939968109130859,0.6602811956120673,0.0820598304271698,-2.5003066062927246,no_action,scaffold,1
1,encouragement,5.760612755682021,4.939968109130859,0.8206446465511616,0.2898653745651245,-1.2383387088775635,no_action,scaffold,1
1,simplify_problem,5.528476544883465,4.939968109130859,0.5885084357526056,0.011377747170627117,-4.476095676422119,no_action,scaffold,1
1,harder_problem,5.5125009664671705,4.939968109130859,0.5725328573363111,0.13860781490802765,-1.9761067628860474,no_action,scaffold,1
1,break,5.674713991681114,4.939968109130859,0.7347458825502544,0.10888893157243729,-2.2174267768859863,no_action,scaffold,1
1,no_action,5.674467285493273,4.939968109130859,0.734499176362414,0.3585200011730194,-1.0257707834243774,no_action,scaffold,1
2,hint,5.612530752311056,4.868456840515137,0.744073911795919,0.02267632819712162,-3.786433696746826,encouragement,scaffold,1
2,scaffold,5.6892310041137595,4.868456840515137,0.8207741635986228,0.09639397263526917,-2.3393115997314453,encouragement,scaffold,1
2,encouragement,5.340370408431776,4.868456840515137,0.47191356791663885,0.41530880331993103,-0.8787329792976379,encouragement,scaffold,1
2,simplify_problem,5.584099577781033,4.868456840515137,0.7156427372658962,0.04079149290919304,-3.199281692504883,encouragement,scaffold,1
2,harder_problem,5.347781975782059,4.868456840515137,0.47932513526692233,0.02879786677658558,-3.5474538803100586,encouragement,scaffold,1
2,break,5.605572808107727,4.868456840515137,0.7371159675925902,0.1507703959941864,-1.8919970989227295,encouragement,scaffold,1
2,no_action,5.469640899691039,4.868456840515137,0.6011840591759023,0.245261088013649,-1.4054319858551025,encouragement,scaffold,1
3,hint,5.518925251085723,4.929283618927002,0.5896416321587212,0.02536812610924244,-3.6742618083953857,encouragement,scaffold,1
3,scaffold,5.740045828996409,4.929283618927002,0.8107622100694067,0.10737085342407227,-2.23146653175354,encouragement,scaffold,1
3,encouragement,5.448338488696798,4.929283618927002,0.5190548697697963,0.44373631477355957,-0.8125247359275818,encouragement,scaffold,1
3,simplify_problem,5.670376922119307,4.929283618927002,0.7410933031923053,0.04510319232940674,-3.098802328109741,encouragement,scaffold,1
3,harder_problem,5.364106266243819,4.929283618927002,0.43482264731681664,0.03394198417663574,-3.3831026554107666,encouragement,scaffold,1
3,explanation,5.678762360179315,4.929283618927002,0.7494787412523127,0.08065013587474823,-2.517634868621826,encouragement,scaffold,1
3,no_action,5.418803454156642,4.929283618927002,0.4895198352296397,0.26382941007614136,-1.3324525356292725,encouragement,scaffold,1
4,hint,5.533707321487479,5.109279632568359,0.42442768891911964,0.03606826066970825,-3.3223419189453125,encouragement,scaffold,1
4,scaffold,5.495969525301652,5.109279632568359,0.38668989273329224,0.09390951693058014,-2.3654234409332275,encouragement,scaffold,1
4,encouragement,5.511630755237697,5.109279632568359,0.40235112266933726,0.5340437889099121,-0.6272773146629333,encouragement,scaffold,1
4,harder_problem,5.515552484910543,5.109279632568359,0.4062728523421839,0.01818358339369297,-4.007236003875732,encouragement,scaffold,1
4,explanation,5.603517886268851,5.109279632568359,0.4942382537004919,0.08664900064468384,-2.445889711380005,encouragement,scaffold,1
4,no_action,5.619859686962489,5.109279632568359,0.5105800543941292,0.23114575445652008,-1.4647066593170166,encouragement,scaffold,1
5,hint,5.625774307923892,5.117486953735352,0.5082873541885409,0.017724517732858658,-4.032806396484375,encouragement,explanation,1
5,encouragement,5.633914914073392,5.117486953735352,0.5164279603380404,0.42943722009658813,-0.8452796936035156,encouragement,explanation,1
5,harder_problem,5.5172753957023595,5.117486953735352,0.3997884419670079,0.08149336278438568,-2.5072336196899414,encouragement,explanation,1
5,explanation,5.612249756530618,5.117486953735352,0.4947628027952664,0.06671594828367233,-2.7073111534118652,encouragement,explanation,1
5,no_action,5.666007634172322,5.117486953735352,0.5485206804369707,0.4046288728713989,-0.9047849178314209,encouragement,explanation,1
6,hint,5.6290209284107755,4.832606315612793,0.7964146127979825,0.020468421280384064,-3.8888721466064453,encouragement,scaffold,1
6,scaffold,5.356233146966488,4.832606315612793,0.5236268313536954,0.08819188922643661,-2.4282402992248535,encouragement,scaffold,1
6,encouragement,5.4531590203585125,4.832606315612793,0.6205527047457196,0.37281596660614014,-0.9866703748703003,encouragement,scaffold,1
6,simplify_problem,5.628400555619604,4.832606315612793,0.7957942400068108,0.033884454518556595,-3.384799003601074,encouragement,scaffold,1
6,harder_problem,5.397815372346386,4.832606315612793,0.5652090567335932,0.033484961837530136,-3.3966588973999023,encouragement,scaffold,1
6,break,5.5611831484187215,4.832606315612793,0.7285768328059286,0.1402904987335205,-1.9640400409698486,encouragement,scaffold,1
6,explanation,5.589683924823014,4.832606315612793,0.7570776092102207,0.06669910252094269,-2.707563877105713,encouragement,scaffold,1
6,no_action,5.743333260547519,4.832606315612793,0.9107269449347264,0.24416476488113403,-1.4099119901657104,encouragement,scaffold,1
