action,n,mean_A,median_A,std_A,mean_prob,mean_logit
hint,85,-1.562631474042085,-2.9738567933536446,1.894768394670184,0.04155124239623546,-3.379308351348428
scaffold,85,-1.6554356300127688,-3.1209141290409956,1.8618902750234523,0.09780707726912463,-2.4486089888740987
encouragement,76,-1.3037874294182918,-0.12200030865007339,1.8470494895987286,0.36112871766090393,-1.0567618428092254
simplify_problem,85,-1.489297551330131,-2.7691851851845937,1.8765232628120305,0.08417623697177452,-2.957902124348809
harder_problem,100,-1.609816666688706,-1.6287317028808561,1.8388892089447386,0.06206955321598798,-3.1495156121253967
break,71,-1.5822253753150957,-3.0530720988167164,1.9138879813083083,0.17444615459568064,-1.7792682530174793
explanation,79,-1.3341638115952263,-0.23944143360889925,1.8340981803566074,0.07929260953317714,-2.585229325898086
no_action,100,-1.581297720229895,-1.583276230289965,1.8644209773331852,0.2869703090470284,-1.4127255034446717
