condition,condition_label,obs_space_variant,obs_dim,include_persistent_obs,obs_ablation,seed,gain_ratio,train_timesteps,eval_episodes,best_checkpoint_step,best_checkpoint_path,best_val_learning_gain,final_checkpoint_step,elapsed_seconds,final_learning_gain,final_final_knowledge,final_success_rate,final_adaptation_accuracy,final_mean_episode_reward,final_dropout_rate,final_action_diversity,final_dominant_action_share,best_learning_gain,best_final_knowledge,best_success_rate,best_adaptation_accuracy,best_mean_episode_reward,best_dropout_rate,best_action_diversity,best_dominant_action_share
B_v7_with_persistent,B: + Persistent Steps,B_v7_with_persistent,7,True,full_emotion,42,10:1,50000,500,10000,/Users/mayoy/Documents/GitHub/AI-Driven-Emotion-Recognition-for-Adaptive-Learning-/RL_Module/models/state_space_ablation_B_v7_with_persistent_afa92d2698_s42/dqn_10000_steps.zip,0.555266132870734,50000,27.9,0.5626925820919267,0.6976920996948395,0.312,0.6889499368145386,3.1523550328909566,0.0,0.639103236307738,0.49606140173702284,0.5906423109656532,0.7193126659129873,0.312,0.7284030095723357,3.0745240956021753,0.0,0.6456513663901637,0.4964133150640767
B_v7_with_persistent,B: + Persistent Steps,B_v7_with_persistent,7,True,full_emotion,0,10:1,50000,500,50000,/Users/mayoy/Documents/GitHub/AI-Driven-Emotion-Recognition-for-Adaptive-Learning-/RL_Module/models/state_space_ablation_B_v7_with_persistent_afa92d2698_s0/dqn_50000_steps.zip,0.3702816591569579,50000,27.7,0.38399791808123096,0.5773856160016196,0.056,0.4892,3.534193959298342,0.0,0.5626659695379942,0.490319225538043,0.38399791808123096,0.5773856160016196,0.056,0.4892,3.534193959298342,0.0,0.5626659695379942,0.490319225538043
B_v7_with_persistent,B: + Persistent Steps,B_v7_with_persistent,7,True,full_emotion,1,10:1,50000,500,50000,/Users/mayoy/Documents/GitHub/AI-Driven-Emotion-Recognition-for-Adaptive-Learning-/RL_Module/models/state_space_ablation_B_v7_with_persistent_afa92d2698_s1/dqn_50000_steps.zip,0.31733534919540285,50000,27.9,0.31964873981481584,0.5310699401497764,0.028,0.13892869565217392,2.862842970185431,0.0,0.7254558750160088,0.3400144023043687,0.31964873981481584,0.5310699401497764,0.028,0.13892869565217392,2.862842970185431,0.0,0.7254558750160088,0.3400144023043687
B_v7_with_persistent,B: + Persistent Steps,B_v7_with_persistent,7,True,full_emotion,7,10:1,50000,500,20000,/Users/mayoy/Documents/GitHub/AI-Driven-Emotion-Recognition-for-Adaptive-Learning-/RL_Module/models/state_space_ablation_B_v7_with_persistent_afa92d2698_s7/dqn_20000_steps.zip,0.6392093986090653,50000,27.7,0.27165529544841766,0.5029314526269669,0.04,0.3139375,3.2143616888765636,0.0,0.696385897361055,0.41089584500840604,0.6397201640550297,0.7530838795128536,0.472,0.8868468850309782,2.912052750292185,0.0,0.44623189237435124,0.5922062990186014
B_v7_with_persistent,B: + Persistent Steps,B_v7_with_persistent,7,True,full_emotion,13,10:1,50000,500,10000,/Users/mayoy/Documents/GitHub/AI-Driven-Emotion-Recognition-for-Adaptive-Learning-/RL_Module/models/state_space_ablation_B_v7_with_persistent_afa92d2698_s13/dqn_10000_steps.zip,0.6526805941524121,50000,28.0,0.39238802115020577,0.5841044375711647,0.084,0.48375999999999997,3.3613937645522594,0.0,0.5892936618946893,0.4839161398735697,0.6469638752783053,0.7586366447249873,0.494,0.7138187022217958,2.3065075006321285,0.0,0.32132746698556436,0.7883812331122574
B_v7_with_persistent,B: + Persistent Steps,B_v7_with_persistent,7,True,full_emotion,21,10:1,50000,500,10000,/Users/mayoy/Documents/GitHub/AI-Driven-Emotion-Recognition-for-Adaptive-Learning-/RL_Module/models/state_space_ablation_B_v7_with_persistent_afa92d2698_s21/dqn_10000_steps.zip,0.6459924007046502,50000,27.7,0.6646821180449852,0.7696505052279067,0.512,0.8824959862119792,2.973651955831223,0.0,0.4526345678725147,0.5652156023699803,0.6845543767569443,0.7839812378005422,0.56,0.980197738185129,2.9287093410775595,0.0,0.35767793062911796,0.6363410801422545
B_v7_with_persistent,B: + Persistent Steps,B_v7_with_persistent,7,True,full_emotion,99,10:1,50000,500,50000,/Users/mayoy/Documents/GitHub/AI-Driven-Emotion-Recognition-for-Adaptive-Learning-/RL_Module/models/state_space_ablation_B_v7_with_persistent_afa92d2698_s99/dqn_50000_steps.zip,0.6260825274928593,50000,27.9,0.628786748568994,0.7427398519806027,0.47,0.8116993425475613,2.4106558449695004,0.0,0.4223380795532659,0.6843014645384236,0.628786748568994,0.7427398519806027,0.47,0.8116993425475613,2.4106558449695004,0.0,0.4223380795532659,0.6843014645384236
B_v7_with_persistent,B: + Persistent Steps,B_v7_with_persistent,7,True,full_emotion,100,10:1,50000,500,40000,/Users/mayoy/Documents/GitHub/AI-Driven-Emotion-Recognition-for-Adaptive-Learning-/RL_Module/models/state_space_ablation_B_v7_with_persistent_afa92d2698_s100/dqn_40000_steps.zip,0.696344154321698,50000,27.7,0.3535431831568982,0.5561894872843163,0.04,0.43836,3.46382841443928,0.0,0.5648014282813159,0.43752,0.7000955403700714,0.7930227301658171,0.548,0.559726605651141,2.0170657242104113,0.0,0.11276746425422991,0.9476887166020591
B_v7_with_persistent,B: + Persistent Steps,B_v7_with_persistent,7,True,full_emotion,200,10:1,50000,500,50000,/Users/mayoy/Documents/GitHub/AI-Driven-Emotion-Recognition-for-Adaptive-Learning-/RL_Module/models/state_space_ablation_B_v7_with_persistent_afa92d2698_s200/dqn_50000_steps.zip,0.5737639085723846,50000,27.9,0.5619822483945127,0.6950103847539074,0.31,0.42891499085668544,2.2683594481059086,0.0,0.5241987544154448,0.5660392567812663,0.5619822483945127,0.6950103847539074,0.31,0.42891499085668544,2.2683594481059086,0.0,0.5241987544154448,0.5660392567812663
B_v7_with_persistent,B: + Persistent Steps,B_v7_with_persistent,7,True,full_emotion,314,10:1,50000,500,10000,/Users/mayoy/Documents/GitHub/AI-Driven-Emotion-Recognition-for-Adaptive-Learning-/RL_Module/models/state_space_ablation_B_v7_with_persistent_afa92d2698_s314/dqn_10000_steps.zip,0.3652208243000852,50000,28.0,0.1913050596538003,0.44202652038637436,0.002,0.10612,3.0552696828812547,0.0,0.8527345313360103,0.25648,0.3468714913397265,0.5481891261285545,0.076,0.48070272108843537,3.1901594819269805,0.0,0.757113900815587,0.3908381676335267
