condition,condition_label,n_seeds,learning_gain_mean,learning_gain_std,learning_gain_ci,final_knowledge_mean,final_knowledge_std,final_knowledge_ci,success_rate_mean,success_rate_std,success_rate_ci,adaptation_accuracy_mean,adaptation_accuracy_std,adaptation_accuracy_ci,mean_episode_reward_mean,mean_episode_reward_std,mean_episode_reward_ci
A_full_emotion,A: Full Emotion,15,0.5801,0.1088,"[0.525, 0.635]",0.7098,0.0754,"[0.672, 0.748]",0.3489,0.1751,"[0.260, 0.438]",0.7464,0.1918,"[0.649, 0.844]",3.0417,0.3036,"[2.888, 3.195]"
D_no_emotion_id,D: No Emotion ID,15,0.6128,0.0939,"[0.565, 0.660]",0.7329,0.0647,"[0.700, 0.766]",0.4096,0.1569,"[0.330, 0.489]",0.8193,0.2244,"[0.706, 0.933]",2.941,0.2419,"[2.819, 3.063]"
