config_id,label,seed,train_timesteps,use_checkpoints,selection,val_learning_gain,elapsed_seconds,learning_rate,batch_size,buffer_size,target_update_interval,exploration_fraction,exploration_final_eps,net_arch,learning_gain,final_knowledge,success_rate,adaptation_accuracy,mean_episode_reward
0bc4111beb,baseline,42,50000,False,final@50000,,21.0,0.0005,64,100000,2000,0.3,0.05,"[64, 64]",0.39518582449214834,0.5850601796472183,0.066,0.45524178375464674,3.471971414526989
0bc4111beb,baseline,0,50000,False,final@50000,,21.9,0.0005,64,100000,2000,0.3,0.05,"[64, 64]",0.4776007880176598,0.6424691719795077,0.162,0.6774767515005486,3.4528299540616265
0bc4111beb,baseline,1,50000,False,final@50000,,22.2,0.0005,64,100000,2000,0.3,0.05,"[64, 64]",0.4426621193376801,0.6172237612035185,0.104,0.47842439024390243,3.5055314743358075
0bc4111beb,baseline,7,50000,False,final@50000,,23.1,0.0005,64,100000,2000,0.3,0.05,"[64, 64]",0.6555215271185939,0.7632457497077291,0.522,0.9441713253471449,3.0252875329419813
0bc4111beb,baseline,13,50000,False,final@50000,,22.7,0.0005,64,100000,2000,0.3,0.05,"[64, 64]",0.2802630252467037,0.5077918959790707,0.02,0.2546,3.0846710011352507
0bc4111beb,baseline,21,50000,False,final@50000,,23.0,0.0005,64,100000,2000,0.3,0.05,"[64, 64]",0.3770462006723045,0.5654904197073417,0.122,0.08564200424843896,3.0637645032620346
0bc4111beb,baseline,99,50000,False,final@50000,,23.0,0.0005,64,100000,2000,0.3,0.05,"[64, 64]",0.3546497991168408,0.5532781740389505,0.072,0.5012123218229463,3.387660216071414
0bc4111beb,baseline,100,50000,False,final@50000,,22.8,0.0005,64,100000,2000,0.3,0.05,"[64, 64]",0.5459922495466751,0.687073850238513,0.262,0.6958477679946589,3.3096827547215684
0bc4111beb,baseline,200,50000,False,final@50000,,22.6,0.0005,64,100000,2000,0.3,0.05,"[64, 64]",0.43040021007817936,0.607581139311571,0.186,0.5371603146304328,3.122366266222503
0bc4111beb,baseline,314,50000,False,final@50000,,22.7,0.0005,64,100000,2000,0.3,0.05,"[64, 64]",0.3322300076722461,0.5382294431885221,0.04,0.46304,3.4226470842916035
0bc4111beb,expl_frac_0.3,42,50000,False,final@50000,,22.4,0.0005,64,100000,2000,0.3,0.05,"[64, 64]",0.39518582449214834,0.5850601796472183,0.066,0.45524178375464674,3.471971414526989
0bc4111beb,expl_frac_0.3,0,50000,False,final@50000,,22.8,0.0005,64,100000,2000,0.3,0.05,"[64, 64]",0.4776007880176598,0.6424691719795077,0.162,0.6774767515005486,3.4528299540616265
0bc4111beb,expl_frac_0.3,1,50000,False,final@50000,,22.1,0.0005,64,100000,2000,0.3,0.05,"[64, 64]",0.4426621193376801,0.6172237612035185,0.104,0.47842439024390243,3.5055314743358075
0bc4111beb,expl_frac_0.3,7,50000,False,final@50000,,22.2,0.0005,64,100000,2000,0.3,0.05,"[64, 64]",0.6555215271185939,0.7632457497077291,0.522,0.9441713253471449,3.0252875329419813
0bc4111beb,expl_frac_0.3,13,50000,False,final@50000,,21.9,0.0005,64,100000,2000,0.3,0.05,"[64, 64]",0.2802630252467037,0.5077918959790707,0.02,0.2546,3.0846710011352507
0bc4111beb,expl_frac_0.3,21,50000,False,final@50000,,22.0,0.0005,64,100000,2000,0.3,0.05,"[64, 64]",0.3770462006723045,0.5654904197073417,0.122,0.08564200424843896,3.0637645032620346
0bc4111beb,expl_frac_0.3,99,50000,False,final@50000,,21.7,0.0005,64,100000,2000,0.3,0.05,"[64, 64]",0.3546497991168408,0.5532781740389505,0.072,0.5012123218229463,3.387660216071414
0bc4111beb,expl_frac_0.3,100,50000,False,final@50000,,21.8,0.0005,64,100000,2000,0.3,0.05,"[64, 64]",0.5459922495466751,0.687073850238513,0.262,0.6958477679946589,3.3096827547215684
0bc4111beb,expl_frac_0.3,200,50000,False,final@50000,,22.0,0.0005,64,100000,2000,0.3,0.05,"[64, 64]",0.43040021007817936,0.607581139311571,0.186,0.5371603146304328,3.122366266222503
0bc4111beb,expl_frac_0.3,314,50000,False,final@50000,,21.9,0.0005,64,100000,2000,0.3,0.05,"[64, 64]",0.3322300076722461,0.5382294431885221,0.04,0.46304,3.4226470842916035
adeaf61e35,expl_frac_0.5,42,50000,False,final@50000,,21.4,0.0005,64,100000,2000,0.5,0.05,"[64, 64]",0.3040317279853903,0.5209768581599292,0.036,0.36268,3.341329498439351
adeaf61e35,expl_frac_0.5,0,50000,False,final@50000,,22.3,0.0005,64,100000,2000,0.5,0.05,"[64, 64]",0.564659863586976,0.7004147022738331,0.312,0.7064313789688568,3.382811308923983
adeaf61e35,expl_frac_0.5,1,50000,False,final@50000,,22.1,0.0005,64,100000,2000,0.5,0.05,"[64, 64]",0.6585510942055736,0.7653176593079514,0.494,0.9719865048640893,2.894164550792736
adeaf61e35,expl_frac_0.5,7,50000,False,final@50000,,22.2,0.0005,64,100000,2000,0.5,0.05,"[64, 64]",0.36985052643503535,0.5682541677767365,0.056,0.255985,3.500305706109273
adeaf61e35,expl_frac_0.5,13,50000,False,final@50000,,22.0,0.0005,64,100000,2000,0.5,0.05,"[64, 64]",0.37813365952325123,0.5747642132656099,0.062,0.4972143669250646,3.1540360302517456
adeaf61e35,expl_frac_0.5,21,50000,False,final@50000,,21.9,0.0005,64,100000,2000,0.5,0.05,"[64, 64]",0.4483060443553881,0.6190792143320025,0.156,0.48136389250590006,3.2756634488379226
adeaf61e35,expl_frac_0.5,99,50000,False,final@50000,,22.1,0.0005,64,100000,2000,0.5,0.05,"[64, 64]",0.5271186208341208,0.6722969934018522,0.336,0.6918918403248747,3.6078653966332426
adeaf61e35,expl_frac_0.5,100,50000,False,final@50000,,22.1,0.0005,64,100000,2000,0.5,0.05,"[64, 64]",0.4394017696529409,0.6128403593132923,0.17,0.5509712366250278,3.458710040018726
adeaf61e35,expl_frac_0.5,200,50000,False,final@50000,,22.0,0.0005,64,100000,2000,0.5,0.05,"[64, 64]",0.4688555420971735,0.630905122050812,0.194,0.5999614562251209,3.4093444210262343
adeaf61e35,expl_frac_0.5,314,50000,False,final@50000,,22.1,0.0005,64,100000,2000,0.5,0.05,"[64, 64]",0.23249186776593292,0.4735903914548576,0.004,0.27872,3.3693165219796746
086defd4a5,expl_frac_0.7,42,50000,False,final@50000,,20.3,0.0005,64,100000,2000,0.7,0.05,"[64, 64]",0.27703199232757536,0.5034746141612734,0.046,0.35927191219016347,3.347876601532883
