algorithm,seed,mean_reward,success_rate,learning_gain,final_knowledge,mean_delta_k_per_step,p_correct,mean_frustration,mean_confusion,mean_engagement
DQN,42,3.8154757837390436,0.49,0.42880117584384875,0.7616363096165214,0.0093573176542832,0.4400907403588369,0.19313324545834804,0.11413613827986373,0.5701983855781566
PPO,42,3.4021842213952858,0.01,0.19854827359214833,0.5137793014286438,0.004117586497366293,0.55,0.17793372060899412,0.18437901243676472,0.5879553382502363
DQN,123,2.486673673287195,0.04666666666666667,0.23589922200011054,0.5573742376425334,0.00489681997825127,0.3136,0.22983789314335998,0.2586891399525755,0.562635329285792
PPO,123,3.276795959582227,0.0,0.07730024189646649,0.38919246463781915,0.0015331845181569875,0.5202666666666667,0.16178759559633155,0.20705819298313044,0.5859476458907497
DQN,456,3.5728834053658396,0.32666666666666666,0.3669732554669712,0.691160945789796,0.007831962253372921,0.4811137202281114,0.20858194761175652,0.13021099345246823,0.5768905023896053
PPO,456,3.6019021363194406,0.013333333333333334,0.23550901800082538,0.551195500330796,0.004983050916588229,0.47713333333333335,0.16241116406713094,0.17726086069726454,0.5863088414808811
