configuration,configuration_label,algorithm,n_seeds,learning_gain_mean,learning_gain_std,coefficient_of_variation,learning_gain_ci_95,success_rate_mean,success_rate_std,success_rate_ci_95,adaptation_accuracy_mean,adaptation_accuracy_std,adaptation_accuracy_ci_95
standard_dqn,Standard DQN (thesis baseline),DQN,20,0.6089,0.0887,0.1456,"[0.570, 0.648]",0.4003,0.1502,"[0.334, 0.466]",0.7751,0.2138,"[0.681, 0.869]"
double_dqn,Double DQN (confirmation),DoubleDQN,20,0.5539,0.0653,0.1178,"[0.525, 0.583]",0.3021,0.1039,"[0.257, 0.348]",0.7141,0.1617,"[0.643, 0.785]"
