configuration,configuration_label,algorithm,seed,train_timesteps,eval_episodes,best_checkpoint_step,best_checkpoint_path,best_val_learning_gain,elapsed_seconds,source,learning_gain,final_knowledge,success_rate,adaptation_accuracy,mean_episode_reward
standard_dqn,Standard DQN (thesis baseline),DQN,8888,50000,500,50000,/Users/mayoy/Documents/GitHub/AI-Driven-Emotion-Recognition-for-Adaptive-Learning-/RL_Module/models/final_dqn_baseline_6dbd04cfdf_s8888/dqn_50000_steps.zip,0.5483820732198057,42.1,baseline_per_run_20.csv,0.5919836497151512,0.716670175261536,0.352,0.7971344511231166,2.945287293322449
standard_dqn,Standard DQN (thesis baseline),DQN,9999,50000,500,10000,/Users/mayoy/Documents/GitHub/AI-Driven-Emotion-Recognition-for-Adaptive-Learning-/RL_Module/models/final_dqn_baseline_6dbd04cfdf_s9999/dqn_10000_steps.zip,0.5124931181821603,42.0,baseline_per_run_20.csv,0.5134261016227356,0.6638233769481057,0.204,0.6964584536901954,3.470356381632598
standard_dqn,Standard DQN (thesis baseline),DQN,10101,50000,500,10000,/Users/mayoy/Documents/GitHub/AI-Driven-Emotion-Recognition-for-Adaptive-Learning-/RL_Module/models/final_dqn_baseline_6dbd04cfdf_s10101/dqn_10000_steps.zip,0.6999089965548747,42.1,baseline_per_run_20.csv,0.6843537057419594,0.7814800585820264,0.522,0.576875197433382,2.1946342621694077
standard_dqn,Standard DQN (thesis baseline),DQN,20202,50000,500,30000,/Users/mayoy/Documents/GitHub/AI-Driven-Emotion-Recognition-for-Adaptive-Learning-/RL_Module/models/final_dqn_baseline_6dbd04cfdf_s20202/dqn_30000_steps.zip,0.527500114229556,42.3,baseline_per_run_20.csv,0.5266760131113677,0.6717988036543323,0.276,0.5225591617113657,3.4106605812913378
standard_dqn,Standard DQN (thesis baseline),DQN,30303,50000,500,20000,/Users/mayoy/Documents/GitHub/AI-Driven-Emotion-Recognition-for-Adaptive-Learning-/RL_Module/models/final_dqn_baseline_6dbd04cfdf_s30303/dqn_20000_steps.zip,0.6562604406108938,42.3,baseline_per_run_20.csv,0.6703911318835406,0.7681114733890163,0.508,0.6201347615580305,1.9446510102783416
double_dqn,Double DQN (confirmation),DoubleDQN,42,50000,500,10000,/Users/mayoy/Documents/GitHub/AI-Driven-Emotion-Recognition-for-Adaptive-Learning-/RL_Module/models/final_ddqn_confirm_s42/double_dqn_10000_steps.zip,0.493146261204943,26.7,trained,0.5197794072704812,0.6686990565955525,0.238,0.6493503948495117,2.1655633610951965
double_dqn,Double DQN (confirmation),DoubleDQN,0,50000,500,50000,/Users/mayoy/Documents/GitHub/AI-Driven-Emotion-Recognition-for-Adaptive-Learning-/RL_Module/models/final_ddqn_confirm_s0/double_dqn_50000_steps.zip,0.5495915173827609,24.3,trained,0.5681055185650037,0.7032054152377941,0.31,0.505677613337595,1.7544156434444198
double_dqn,Double DQN (confirmation),DoubleDQN,1,50000,500,20000,/Users/mayoy/Documents/GitHub/AI-Driven-Emotion-Recognition-for-Adaptive-Learning-/RL_Module/models/final_ddqn_confirm_s1/double_dqn_20000_steps.zip,0.48738677909519773,24.9,trained,0.48268087548694616,0.6440683303612235,0.156,0.5395733260532233,2.5212112691041675
double_dqn,Double DQN (confirmation),DoubleDQN,7,50000,500,20000,/Users/mayoy/Documents/GitHub/AI-Driven-Emotion-Recognition-for-Adaptive-Learning-/RL_Module/models/final_ddqn_confirm_s7/double_dqn_20000_steps.zip,0.5597010540436985,25.0,trained,0.5741879499185039,0.7070924899229426,0.318,0.6981664544353601,1.779556019771041
double_dqn,Double DQN (confirmation),DoubleDQN,13,50000,500,10000,/Users/mayoy/Documents/GitHub/AI-Driven-Emotion-Recognition-for-Adaptive-Learning-/RL_Module/models/final_ddqn_confirm_s13/double_dqn_10000_steps.zip,0.5241183353778137,24.2,trained,0.5279747829768695,0.6774868956850234,0.25,0.5555918443705368,2.262254644934876
