condition,condition_label,n_seeds,learning_gain_mean,learning_gain_std,learning_gain_ci,final_knowledge_mean,final_knowledge_std,final_knowledge_ci,success_rate_mean,success_rate_std,success_rate_ci,adaptation_accuracy_mean,adaptation_accuracy_std,adaptation_accuracy_ci,mean_episode_reward_mean,mean_episode_reward_std,mean_episode_reward_ci
A_full_emotion,A: Full Emotion,15,0.4115,0.1849,"[0.318, 0.505]",0.5934,0.1292,"[0.528, 0.659]",0.1779,0.2068,"[0.073, 0.283]",0.4546,0.2988,"[0.303, 0.606]",3.0606,0.2055,"[2.957, 3.165]"
D_no_emotion_id,D: No Emotion ID,15,0.4261,0.1589,"[0.346, 0.507]",0.6034,0.1102,"[0.548, 0.659]",0.1827,0.187,"[0.088, 0.277]",0.4857,0.2901,"[0.339, 0.632]",3.183,0.2611,"[3.051, 3.315]"
