comparison,eval_type,metric,mean_A,mean_D,delta_A_minus_D,std_A,std_D,cohens_d,t,p_raw,p_holm
A_full_emotion_vs_D_no_emotion_id,final,learning_gain,0.4115,0.4261,-0.0146,0.1849,0.1589,-0.0848,-0.2323,0.818028,1.0
A_full_emotion_vs_D_no_emotion_id,final,final_knowledge,0.5934,0.6034,-0.01,0.1292,0.1102,-0.0833,-0.228,0.821336,1.0
A_full_emotion_vs_D_no_emotion_id,final,success_rate,0.1779,0.1827,-0.0048,0.2068,0.187,-0.0243,-0.0667,0.947317,0.947317
A_full_emotion_vs_D_no_emotion_id,final,adaptation_accuracy,0.4546,0.4857,-0.0311,0.2988,0.2901,-0.1055,-0.2888,0.774848,1.0
A_full_emotion_vs_D_no_emotion_id,final,mean_episode_reward,3.0606,3.183,-0.1224,0.2055,0.2611,-0.5211,-1.4271,0.165229,0.826143
