condition,condition_label,obs_ablation,seed,gain_ratio,train_timesteps,eval_episodes,best_checkpoint_step,best_checkpoint_path,best_val_learning_gain,final_checkpoint_step,elapsed_seconds,final_learning_gain,final_final_knowledge,final_success_rate,final_adaptation_accuracy,final_mean_episode_reward,final_mean_confusion_variance,final_mean_boredom_variance,final_mean_emotion_id_switches,final_std_confusion_variance,final_std_boredom_variance,best_learning_gain,best_final_knowledge,best_success_rate,best_adaptation_accuracy,best_mean_episode_reward,best_mean_confusion_variance,best_mean_boredom_variance,best_mean_emotion_id_switches,best_std_confusion_variance,best_std_boredom_variance
A_full_emotion,A: Full Emotion,full_emotion,42,10:1,50000,500,10000,/Users/mayoy/Documents/GitHub/AI-Driven-Emotion-Recognition-for-Adaptive-Learning-/RL_Module/models/emotion_id_ablation_A_full_emotion_737682c015_s42/dqn_10000_steps.zip,0.646972620644052,50000,41.0,0.6675896840519984,0.7711177656690071,0.478,0.8592218133106196,2.8137807815796854,0.009810286657339927,0.001091064737283114,0.228,0.002619753195141005,0.000254084743145738,0.6740208324077973,0.7761890831010557,0.502,0.9902326720455623,2.8074810181969374,0.01110708673788211,0.001117102653181267,0.796,0.0029262262863224524,0.0002590898530140733
A_full_emotion,A: Full Emotion,full_emotion,0,10:1,50000,500,40000,/Users/mayoy/Documents/GitHub/AI-Driven-Emotion-Recognition-for-Adaptive-Learning-/RL_Module/models/emotion_id_ablation_A_full_emotion_737682c015_s0/dqn_40000_steps.zip,0.6785554818244068,50000,40.1,0.6958940244235119,0.791463448383295,0.584,0.9939946969711686,2.649323324941155,0.013703533502273183,0.00106472829236558,9.682,0.0031154613762181863,0.0002539482804561484,0.697782102007648,0.792595042217766,0.594,0.972909937308749,2.509610180892646,0.016577569831934282,0.0010626735482278092,16.638,0.0031297722780544734,0.00025160305062484024
A_full_emotion,A: Full Emotion,full_emotion,1,10:1,50000,500,20000,/Users/mayoy/Documents/GitHub/AI-Driven-Emotion-Recognition-for-Adaptive-Learning-/RL_Module/models/emotion_id_ablation_A_full_emotion_737682c015_s1/dqn_20000_steps.zip,0.4563020500898147,50000,40.5,0.2996703896930255,0.5167004062068986,0.034,0.30691304347826087,3.1896801853421226,0.0022629361215269522,0.007020578570438465,1.206,0.000950646706562387,0.006257721822448049,0.45321070921018974,0.6245813891012003,0.116,0.48916870326791934,3.6335788196238235,0.002833879274601788,0.0016783392526670293,0.03,0.0007251181604029585,0.0033660504974659775
A_full_emotion,A: Full Emotion,full_emotion,7,10:1,50000,500,50000,/Users/mayoy/Documents/GitHub/AI-Driven-Emotion-Recognition-for-Adaptive-Learning-/RL_Module/models/emotion_id_ablation_A_full_emotion_737682c015_s7/dqn_50000_steps.zip,0.6028853696183304,50000,40.6,0.6053957572935577,0.7292099121435458,0.414,0.7187360671616198,2.767943686181905,0.014084946409075969,0.001104557022892006,0.708,0.006946243659284854,0.0002500698457951541,0.6053957572935577,0.7292099121435458,0.414,0.7187360671616198,2.767943686181905,0.014084946409075969,0.001104557022892006,0.708,0.006946243659284854,0.0002500698457951541
A_full_emotion,A: Full Emotion,full_emotion,13,10:1,50000,500,10000,/Users/mayoy/Documents/GitHub/AI-Driven-Emotion-Recognition-for-Adaptive-Learning-/RL_Module/models/emotion_id_ablation_A_full_emotion_737682c015_s13/dqn_10000_steps.zip,0.6762058249047587,50000,40.3,0.36723987357529686,0.5677195293580011,0.054,0.28792,3.1915997234436992,0.003261070768694351,0.017433562203035175,1.302,0.0024000389611053695,0.01891744341251665,0.6691967087827679,0.7722847818423765,0.512,0.9425411916223052,2.870543512000015,0.011168538239388173,0.0010974256013561031,1.152,0.003515689123244285,0.0002452993116911048
A_full_emotion,A: Full Emotion,full_emotion,21,10:1,50000,500,30000,/Users/mayoy/Documents/GitHub/AI-Driven-Emotion-Recognition-for-Adaptive-Learning-/RL_Module/models/emotion_id_ablation_A_full_emotion_737682c015_s21/dqn_30000_steps.zip,0.6209102188280472,50000,40.2,0.42691536857496887,0.6059589527567453,0.084,0.4620289550704002,3.169461680372672,0.0015448622615031682,0.0034799794542953763,0.466,0.0004046917942198897,0.003974210976625954,0.6485673462291409,0.7583249437738356,0.452,0.7450917104822503,3.066660535169607,0.009992370447992538,0.0011753380956571137,0.35,0.0058782942088650945,0.0002814475385060053
A_full_emotion,A: Full Emotion,full_emotion,99,10:1,50000,500,10000,/Users/mayoy/Documents/GitHub/AI-Driven-Emotion-Recognition-for-Adaptive-Learning-/RL_Module/models/emotion_id_ablation_A_full_emotion_737682c015_s99/dqn_10000_steps.zip,0.5830009523108566,50000,40.4,0.3866052356416119,0.5758385554135264,0.092,0.3602032827084322,3.168955439497922,0.0022569102920895786,0.011493426244924288,2.872,0.000587946317533813,0.008100161143205671,0.5883831143665202,0.7162702018791743,0.324,0.6480203514586376,3.169127820159528,0.00676959854847593,0.0014029075377335455,0.192,0.003083142847071254,0.0022749969281220033
A_full_emotion,A: Full Emotion,full_emotion,100,10:1,50000,500,20000,/Users/mayoy/Documents/GitHub/AI-Driven-Emotion-Recognition-for-Adaptive-Learning-/RL_Module/models/emotion_id_ablation_A_full_emotion_737682c015_s100/dqn_20000_steps.zip,0.6745997901793299,50000,40.0,0.6211862569250418,0.7400143911272026,0.398,0.6715432517079774,3.2420152434962017,0.00820668779015666,0.0012788113408445157,0.004,0.0031325326754997316,0.0004263965847909877,0.678100549163617,0.7786417024435132,0.518,0.9903141723753304,2.909799444089368,0.011384956657374028,0.001115269114381508,0.586,0.00232107887855414,0.000248867225730512
A_full_emotion,A: Full Emotion,full_emotion,200,10:1,50000,500,10000,/Users/mayoy/Documents/GitHub/AI-Driven-Emotion-Recognition-for-Adaptive-Learning-/RL_Module/models/emotion_id_ablation_A_full_emotion_737682c015_s200/dqn_10000_steps.zip,0.42964358466164926,50000,40.3,0.26084586541661886,0.4892284801181246,0.028,0.2308349863206595,2.996861038585137,0.0024584053968602078,0.012875127252000003,0.908,0.001073783963513284,0.01567224049016372,0.43690791857115735,0.6106266881484942,0.102,0.4844611882426517,3.215162104231563,0.0016255250218191622,0.006274630271551981,0.366,0.0004117367554937415,0.011980686359030476
A_full_emotion,A: Full Emotion,full_emotion,314,10:1,50000,500,40000,/Users/mayoy/Documents/GitHub/AI-Driven-Emotion-Recognition-for-Adaptive-Learning-/RL_Module/models/emotion_id_ablation_A_full_emotion_737682c015_s314/dqn_40000_steps.zip,0.36492657337713374,50000,40.1,0.19768365068692853,0.45031903136729623,0.002,0.16491999999999998,3.223227970678018,0.0038391825101096798,0.0012790887072037101,0.036,0.002573052413425865,0.0009137594762135694,0.3296192723169408,0.5366895275698996,0.042,0.5239555555555555,3.2456950650767475,0.002213776084566321,0.013037011208884508,3.782,0.00043656740876728777,0.01025547880970861
A_full_emotion,A: Full Emotion,full_emotion,500,10:1,50000,500,40000,/Users/mayoy/Documents/GitHub/AI-Driven-Emotion-Recognition-for-Adaptive-Learning-/RL_Module/models/emotion_id_ablation_A_full_emotion_737682c015_s500/dqn_40000_steps.zip,0.6816984639877695,50000,41.1,0.6252932457476637,0.7412950679562282,0.386,0.842111117570621,3.183779430598696,0.009006842327113098,0.0018809576338315191,0.436,0.0062317154447628,0.002711061730275846,0.6870811053762772,0.7826273272733512,0.516,0.8866047608932492,2.5905362147375195,0.015161583331563217,0.0010428664369862863,4.896,0.004812348468251621,0.00022488192710433567
