config_id,seed,train_timesteps,eval_episodes,elapsed_seconds,learning_rate,batch_size,buffer_size,target_update_interval,exploration_fraction,exploration_final_eps,mean_episode_reward,success_rate,learning_gain,final_knowledge,adaptation_accuracy,mean_delta_k_per_step,p_correct,mean_engagement,mean_frustration,comfort_action_fraction,challenge_action_fraction,action_diversity_shannon,dominance_detected,action_frequencies,dominant_actions,is_baseline
f3c634092be5,42,50000,1000,30.5,0.0003,32,10000,2000,0.3,0.05,3.3487607737273346,0.018,0.25561909785478637,0.48756642146112006,0.26242347826086954,0.003721227154762312,0.41336613858217314,0.5871643745875699,0.1948397841351844,0.6266802688430149,0.2641822691630661,1.3272709884872609,False,"{'hint': 0.0, 'scaffold': 0.2642, 'encouragement': 0.1909, 'simplify_problem': 0.0028, 'harder_problem': 0.0, 'break': 0.0087, 'explanation': 0.1063, 'no_action': 0.4271}",[],False
0232c8af367e,42,50000,1000,30.9,0.0003,32,10000,2000,0.2,0.05,3.4360066747730036,0.268,0.5195283750361669,0.6628094300506924,0.4979817268114599,0.007299656439635694,0.38670896306473773,0.5632075023601691,0.20635122229806274,0.14992321991432958,0.49682777014466983,1.5716639667881482,False,"{'hint': 0.0, 'scaffold': 0.3471, 'encouragement': 0.0318, 'simplify_problem': 0.0336, 'harder_problem': 0.1497, 'break': 0.0709, 'explanation': 0.3196, 'no_action': 0.0472}",[],False
8f201a51c300,42,50000,1000,30.8,0.0003,32,10000,2000,0.3,0.01,3.3326577525173846,0.022,0.26227010901229353,0.48829149353416174,0.18098000000000003,0.0037351331998783832,0.54182,0.5665238439247697,0.15965607039457239,0.51964,0.18097999999999997,1.6886212636135065,False,"{'hint': 0.0, 'scaffold': 0.1651, 'encouragement': 0.2568, 'simplify_problem': 0.0888, 'harder_problem': 0.0159, 'break': 0.238, 'explanation': 0.2106, 'no_action': 0.0248}",[],False
3475172dcd0f,42,50000,1000,29.9,0.0003,32,10000,2000,0.5,0.01,3.4997815321260135,0.045,0.35584907693282175,0.554592923870599,0.4729964190948923,0.005064200326803209,0.4573544126475885,0.574132154429331,0.17866218245492554,0.4629577746647989,0.47066239743846305,1.3891132749994104,False,"{'hint': 0.0, 'scaffold': 0.4703, 'encouragement': 0.0646, 'simplify_problem': 0.0123, 'harder_problem': 0.0003, 'break': 0.1973, 'explanation': 0.054, 'no_action': 0.2011}",[],False
2b003246c602,42,50000,1000,29.9,0.0003,32,10000,2000,0.3,0.1,3.3344680101989335,0.036,0.2891367710687605,0.5058509528185642,0.29178259985860727,0.004091395716254587,0.545436341062918,0.5691731161093241,0.16286090771379982,0.46727942648884613,0.292202330890304,1.6706586830940382,False,"{'hint': 0.0004, 'scaffold': 0.2505, 'encouragement': 0.2319, 'simplify_problem': 0.1165, 'harder_problem': 0.0413, 'break': 0.2353, 'explanation': 0.124, 'no_action': 0.0001}",[],False
f93c23659e05,42,50000,1000,29.9,0.0003,32,10000,2000,0.5,0.05,2.9285456269990577,0.468,0.6347045753814137,0.743313706675127,0.8024033627793526,0.00903100848634213,0.2917739891246576,0.5688281009114105,0.23263600029188367,0.03213541027842512,0.8008299603417964,1.0797081111495448,False,"{'hint': 0.0, 'scaffold': 0.2438, 'encouragement': 0.0321, 'simplify_problem': 0.167, 'harder_problem': 0.5571, 'break': 0.0, 'explanation': 0.0, 'no_action': 0.0}",[],False
eaf7dc4cc1fc,42,50000,1000,29.9,0.0003,32,10000,2000,0.5,0.1,3.070841780576101,0.041,0.30325609055896113,0.5153170698618056,0.2838227636838242,0.004281296037200366,0.68111907718188,0.5569637129651381,0.17131096813875327,0.2431409460487844,0.2618456362398366,1.7226637466479038,False,"{'hint': 0.0, 'scaffold': 0.1234, 'encouragement': 0.1116, 'simplify_problem': 0.3145, 'harder_problem': 0.1384, 'break': 0.0011, 'explanation': 0.1805, 'no_action': 0.1305}",[],False
b57b46b470d5,42,50000,1000,31.4,0.0003,32,10000,5000,0.1,0.01,3.377702398904965,0.028,0.2776285071003038,0.5004108479399253,0.36042761904761905,0.003978156793080545,0.41304608737397985,0.5835876018651537,0.18523893705473074,0.6046967514802368,0.36623859817570814,1.4116542192872368,False,"{'hint': 0.0058, 'scaffold': 0.3597, 'encouragement': 0.1379, 'simplify_problem': 0.0012, 'harder_problem': 0.0007, 'break': 0.1257, 'explanation': 0.0278, 'no_action': 0.3411}",[],False
a3464a3f7bc6,42,50000,1000,31.2,0.0003,32,10000,5000,0.1,0.1,3.523566547207856,0.088,0.36419600471494135,0.5558613471129543,0.5458753197780943,0.005093253365897218,0.5604998598149558,0.58464491600836,0.18755740716145186,0.32979532983538273,0.5518684663756158,1.4527696261034666,False,"{'hint': 0.01, 'scaffold': 0.4937, 'encouragement': 0.2034, 'simplify_problem': 0.0899, 'harder_problem': 0.0482, 'break': 0.0017, 'explanation': 0.0284, 'no_action': 0.1247}",[],False
a1b27d56003b,42,50000,1000,31.4,0.0003,32,10000,5000,0.1,0.05,2.9072189487025453,0.503,0.6685779132774148,0.7695616764194235,0.9333138006560123,0.009633353426625656,0.2561748723859707,0.5713988375793527,0.24974165738645013,0.0029021900214062243,0.9330232175201713,0.871524809391009,False,"{'hint': 0.0008, 'scaffold': 0.3311, 'encouragement': 0.0, 'simplify_problem': 0.0001, 'harder_problem': 0.6011, 'break': 0.0029, 'explanation': 0.064, 'no_action': 0.0}",[],False
