config_id,learning_rate,batch_size,buffer_size,target_update_interval,exploration_fraction,exploration_final_eps,mean_episode_reward_mean,mean_episode_reward_std,mean_episode_reward_ci_95,reward_vs_baseline_p,reward_vs_baseline_delta,success_rate_mean,success_rate_std,success_rate_ci_95,learning_gain_mean,learning_gain_std,learning_gain_ci_95,final_knowledge_mean,final_knowledge_std,final_knowledge_ci_95,adaptation_accuracy_mean,adaptation_accuracy_std,adaptation_accuracy_ci_95,stable_improvement
3d833752cc9e,0.0003,64,50000,1000,0.2,0.05,3.1745746588673347,0.2985480348207897,"[np.float64(2.9128857683072966), np.float64(3.4362635494273728)]",0.25903473007811684,0.4165652162385278,0.16899999999999998,0.1914719300576458,"[np.float64(0.0011674534543433535), np.float64(0.33683254654565664)]",0.4374195118198186,0.15445230160704046,"[np.float64(0.30203610031535877), np.float64(0.5728029233242784)]",0.6102664514892885,0.10711485449967789,"[np.float64(0.5163761418332671), np.float64(0.7041567611453099)]",0.5497412949916578,0.27325675973286684,"[np.float64(0.31022118448264296), np.float64(0.7892614055006726)]",False
467106ecc1c7,0.0003,64,100000,1000,0.2,0.05,3.1745746588673347,0.2985480348207897,"[np.float64(2.9128857683072966), np.float64(3.4362635494273728)]",0.25903473007811684,0.4165652162385278,0.16899999999999998,0.1914719300576458,"[np.float64(0.0011674534543433535), np.float64(0.33683254654565664)]",0.4374195118198186,0.15445230160704046,"[np.float64(0.30203610031535877), np.float64(0.5728029233242784)]",0.6102664514892885,0.10711485449967789,"[np.float64(0.5163761418332671), np.float64(0.7041567611453099)]",0.5497412949916578,0.27325675973286684,"[np.float64(0.31022118448264296), np.float64(0.7892614055006726)]",False
4c0cc82b2166,0.001,64,100000,500,0.3,0.05,2.929507234447669,0.2993931099821395,"[np.float64(2.667077602848936), np.float64(3.191936866046402)]",0.6428720941563899,0.17149779181886204,0.36160000000000003,0.23331373727236893,"[np.float64(0.15709149236278708), np.float64(0.566108507637213)]",0.567327718205134,0.15090171309057174,"[np.float64(0.43505653475559214), np.float64(0.6995989016546758)]",0.6982089451594823,0.10600613915125168,"[np.float64(0.6052904673550781), np.float64(0.7911274229638865)]",0.7344358388093172,0.3006544310783196,"[np.float64(0.4709006105232792), np.float64(0.9979710670953552)]",False
501d9476d887,0.0005,32,50000,500,0.3,0.01,3.1282946610444613,0.22647822380157628,"[np.float64(2.929777745137717), np.float64(3.3268115769512057)]",0.2599715308692402,0.3702852184156544,0.3146,0.16738070378630865,"[np.float64(0.16788434433912652), np.float64(0.46131565566087346)]",0.5495590684290907,0.10387520779848408,"[np.float64(0.4585084343098747), np.float64(0.6406097025483068)]",0.6860981908504307,0.07311581270789096,"[np.float64(0.6220093552919957), np.float64(0.7501870264088656)]",0.6541229217893941,0.28493431845014366,"[np.float64(0.4043669797599734), np.float64(0.9038788638188149)]",False
b1a2d48ae992,0.001,64,50000,500,0.3,0.05,2.929507234447669,0.2993931099821395,"[np.float64(2.667077602848936), np.float64(3.191936866046402)]",0.6428720941563899,0.17149779181886204,0.36160000000000003,0.23331373727236893,"[np.float64(0.15709149236278708), np.float64(0.566108507637213)]",0.567327718205134,0.15090171309057174,"[np.float64(0.43505653475559214), np.float64(0.6995989016546758)]",0.6982089451594823,0.10600613915125168,"[np.float64(0.6052904673550781), np.float64(0.7911274229638865)]",0.7344358388093172,0.3006544310783196,"[np.float64(0.4709006105232792), np.float64(0.9979710670953552)]",False
