configuration,configuration_label,algorithm,n_seeds,learning_gain_mean,learning_gain_std,coefficient_of_variation,seed_range,learning_gain_ci_95,best_seed,worst_seed,best_seed_lg,worst_seed_lg,final_knowledge_mean,final_knowledge_std,success_rate_mean,success_rate_std,adaptation_accuracy_mean,adaptation_accuracy_std,mean_episode_reward_mean,mean_episode_reward_std,dropout_rate_mean,dropout_rate_std,mean_q_value_mean,mean_q_value_std,max_q_value_mean,max_q_value_std,q_value_variance_mean,q_value_variance_std,overestimation_bias_mean,overestimation_bias_std,action_entropy_mean,action_entropy_std,dominant_action_pct_mean,dominant_action_pct_std,top2_actions_pct_mean,top2_actions_pct_std,actions_used_above_1_percent_mean,actions_used_above_1_percent_std,actions_used_above_5_percent_mean,actions_used_above_5_percent_std,hint_mean_freq,scaffold_mean_freq,encouragement_mean_freq,simplify_problem_mean_freq,harder_problem_mean_freq,break_mean_freq,explanation_mean_freq,no_action_mean_freq
A_standard_dqn,Standard DQN (A),DQN,20,0.5394,0.0642,0.119,0.2185,"[0.511, 0.568]",500,8888,0.6574,0.4389,0.6792,0.0454,0.284,0.1043,0.5915,0.1971,2.088,0.3257,0.0,0.0,0.8348,0.4208,0.8556,0.4237,0.0077,0.005,-0.0472,0.465,1.3825,0.282,0.4157,0.0998,0.6929,0.1366,5.3,1.3018,4.3,1.0809,0.0422,0.337,0.069,0.0559,0.2549,0.0252,0.1578,0.0579
B_double_dqn,Double DQN (B),DoubleDQN,20,0.5634,0.0518,0.0919,0.1611,"[0.541, 0.586]",10101,99,0.634,0.4729,0.6954,0.0352,0.3272,0.0795,0.6554,0.1215,2.1575,0.3449,0.0,0.0,0.5003,0.3348,0.5184,0.3367,0.0051,0.0044,-0.4114,0.4177,1.3937,0.193,0.4343,0.0768,0.6997,0.0904,5.65,1.1367,4.25,0.9665,0.0433,0.4028,0.0638,0.0239,0.2508,0.0208,0.1671,0.0276
