configuration,configuration_label,algorithm,seed,train_timesteps,eval_episodes,use_checkpoints,selection,val_learning_gain,gain_ratio,irt_beta,elapsed_seconds,learning_gain,final_knowledge,success_rate,adaptation_accuracy,mean_episode_reward,dropout_rate,action_entropy,actions_used_above_1_percent,actions_used_above_5_percent,dominant_action_pct,top2_actions_pct,dominance_detected,mean_q_value,max_q_value,q_value_variance,mean_selected_q,overestimation_bias,freq_hint,freq_scaffold,freq_encouragement,freq_simplify_problem,freq_harder_problem,freq_break,freq_explanation,freq_no_action
A_standard_dqn,Standard DQN (A),DQN,2024,50000,500,True,checkpoint@/Users/mayoy/Documents/GitHub/AI-Driven-Emotion-Recognition-for-Adaptive-Learning-/RL_Module/models/dqn_vs_ddqn_A_standard_dqn_s2024/dqn_10000_steps.zip,0.5331902302434457,10:1,3.0,32.7,0.5163638047165036,0.6597948618936544,0.244,0.5968869510061705,2.452800701535585,0.0,1.354511001082848,5,5,0.4725089361018514,0.7223181653881682,False,0.3675203048040635,0.3853477642945975,0.0018760130067934,0.3853477642945975,-0.6551171432069876,8e-05,0.472509,0.054902,0.097313,0.124222,0.0,0.249809,0.001165
A_standard_dqn,Standard DQN (A),DQN,5555,50000,500,True,checkpoint@/Users/mayoy/Documents/GitHub/AI-Driven-Emotion-Recognition-for-Adaptive-Learning-/RL_Module/models/dqn_vs_ddqn_A_standard_dqn_s5555/dqn_40000_steps.zip,0.5764385725001727,10:1,3.0,31.4,0.5790964026190875,0.7035624181860348,0.37,0.4981705285801751,1.897716300744838,0.0,1.5642181656004222,7,4,0.3257247111291304,0.6227042367727549,False,1.0772906980217742,1.0957344779790323,0.011767712016945,1.0957344779790323,0.2640578418697556,0.012933,0.19927,0.000689,0.03584,0.29698,0.032394,0.325725,0.096169
A_standard_dqn,Standard DQN (A),DQN,8888,50000,500,True,checkpoint@/Users/mayoy/Documents/GitHub/AI-Driven-Emotion-Recognition-for-Adaptive-Learning-/RL_Module/models/dqn_vs_ddqn_A_standard_dqn_s8888/dqn_20000_steps.zip,0.4028053300636231,10:1,3.0,31.6,0.4388762620230658,0.610159645050549,0.112,0.5008273646850044,2.4125435021442856,0.0,1.248715421240176,5,4,0.4983787678635763,0.7579760618069733,False,0.7080479049275221,0.7319448210597038,0.0056124580712321,0.7319448210597038,-0.3221215959011417,0.162163,0.498379,0.259597,0.0,0.002362,0.000681,0.060166,0.016653
A_standard_dqn,Standard DQN (A),DQN,9999,50000,500,True,checkpoint@/Users/mayoy/Documents/GitHub/AI-Driven-Emotion-Recognition-for-Adaptive-Learning-/RL_Module/models/dqn_vs_ddqn_A_standard_dqn_s9999/dqn_10000_steps.zip,0.5812786577138604,10:1,3.0,31.8,0.588546224926793,0.7155229760745001,0.334,0.7078739641863572,2.069414896499481,0.0,1.4270468477386384,6,5,0.4775047411532098,0.7069765565105113,False,0.3087247886545282,0.3280878225996452,0.0033190576735728,0.3280878225996452,-0.5382560810552253,0.135577,0.477505,0.001614,0.0,0.229472,0.062583,0.060646,0.032603
A_standard_dqn,Standard DQN (A),DQN,10101,50000,500,True,checkpoint@/Users/mayoy/Documents/GitHub/AI-Driven-Emotion-Recognition-for-Adaptive-Learning-/RL_Module/models/dqn_vs_ddqn_A_standard_dqn_s10101/dqn_10000_steps.zip,0.5960317816554204,10:1,3.0,31.4,0.5833545907821648,0.7090421364985534,0.358,0.5989233672547867,2.35647076780104,0.0,1.549181092211303,6,5,0.3559068488719981,0.598528341554136,False,0.470518143167648,0.4828789175664088,0.0036942994537408,0.4828789175664088,-0.5061486999462237,0.000809,0.355907,0.052559,0.13912,0.242621,0.000768,0.186019,0.022196
A_standard_dqn,Standard DQN (A),DQN,20202,50000,500,True,checkpoint@/Users/mayoy/Documents/GitHub/AI-Driven-Emotion-Recognition-for-Adaptive-Learning-/RL_Module/models/dqn_vs_ddqn_A_standard_dqn_s20202/dqn_50000_steps.zip,0.5170979380641527,10:1,3.0,31.2,0.5101000819002289,0.6596024345858573,0.238,0.4675279739017718,2.1842527204909,0.0,1.481158082596554,5,4,0.3390409582378713,0.6143333735278749,False,1.393450214744434,1.4154646876928767,0.0118192625211573,1.4154646876928767,0.4287829158063143,0.003618,0.339041,0.001809,0.003015,0.128221,0.214317,0.275292,0.034688
A_standard_dqn,Standard DQN (A),DQN,30303,50000,500,True,checkpoint@/Users/mayoy/Documents/GitHub/AI-Driven-Emotion-Recognition-for-Adaptive-Learning-/RL_Module/models/dqn_vs_ddqn_A_standard_dqn_s30303/dqn_30000_steps.zip,0.4403299873440667,10:1,3.0,31.8,0.4593548554019511,0.620396803715953,0.126,0.3778376950354609,2.4222474532073446,0.0,1.5131618331131569,6,5,0.3752400768245839,0.693141805377721,False,0.9101627376698048,0.9296049581450812,0.0077756098519166,0.9296049581450812,-0.0881847276825658,0.078745,0.37524,0.035411,0.0,0.002681,0.102153,0.317902,0.087868
A_standard_dqn,Standard DQN (A),DQN,4242,50000,500,True,checkpoint@/Users/mayoy/Documents/GitHub/AI-Driven-Emotion-Recognition-for-Adaptive-Learning-/RL_Module/models/dqn_vs_ddqn_A_standard_dqn_s4242/dqn_50000_steps.zip,0.4789445743456492,10:1,3.0,31.8,0.4863306053202346,0.6453617020249585,0.204,0.2450889171475803,2.121942019384066,0.0,1.699130343447186,6,6,0.3365164707298479,0.5209645708783052,False,1.3979712375741875,1.4116293680389975,0.0123190697050334,1.4116293680389975,0.5050037329293627,0.151707,0.125908,0.079244,8e-05,0.118726,0.00337,0.336516,0.184448
B_double_dqn,Double DQN (B),DoubleDQN,13,50000,500,True,checkpoint@/Users/mayoy/Documents/GitHub/AI-Driven-Emotion-Recognition-for-Adaptive-Learning-/RL_Module/models/dqn_vs_ddqn_B_double_dqn_s13/double_dqn_50000_steps.zip,0.52922891332739,10:1,3.0,31.4,0.5186230993198733,0.6712295065408168,0.282,0.6149467695024374,2.4979802339266763,0.0,1.5215817332368498,7,5,0.4976875125678665,0.6452041021516187,False,0.8836000903620413,0.8984419399532229,0.0110756552528153,0.8984419399532229,-0.21356941663041,0.062136,0.497688,0.034144,0.008808,0.116388,0.013352,0.147517,0.119968
B_double_dqn,Double DQN (B),DoubleDQN,21,50000,500,True,checkpoint@/Users/mayoy/Documents/GitHub/AI-Driven-Emotion-Recognition-for-Adaptive-Learning-/RL_Module/models/dqn_vs_ddqn_B_double_dqn_s21/double_dqn_10000_steps.zip,0.5861406016790855,10:1,3.0,31.4,0.6188717820336073,0.7370086563785708,0.39,0.5514119001931658,2.195809837043479,0.0,1.5689454807537149,7,4,0.3013893402664933,0.582710432239194,False,0.2708322750232581,0.2833398945742598,0.0004804343086862,0.2833398945742598,-0.6015491823071426,0.084376,0.301389,0.025918,0.01885,0.249269,0.038877,0.281321,0.0
