configuration,configuration_label,seed,train_population,eval_population,eval_population_label,checkpoint,learning_gain,final_knowledge,success_rate,adaptation_accuracy,mean_episode_reward,dropout_rate
A_standard_dqn,Standard DQN (A),1234,mixed,mixed,Mixed Population,/Users/mayoy/Documents/GitHub/AI-Driven-Emotion-Recognition-for-Adaptive-Learning-/RL_Module/models/dqn_vs_ddqn_A_standard_dqn_s1234/dqn_10000_steps.zip,0.4846885113717996,0.6370288419096296,0.264,0.4188782544942838,2.084909372897845,0.0
A_standard_dqn,Standard DQN (A),1234,mixed,single_canonical,Single Canonical Student,/Users/mayoy/Documents/GitHub/AI-Driven-Emotion-Recognition-for-Adaptive-Learning-/RL_Module/models/dqn_vs_ddqn_A_standard_dqn_s1234/dqn_10000_steps.zip,0.5422295636327369,0.6752999303966166,0.204,0.4204443403916882,2.065632349130454,0.0
A_standard_dqn,Standard DQN (A),2024,mixed,mixed,Mixed Population,/Users/mayoy/Documents/GitHub/AI-Driven-Emotion-Recognition-for-Adaptive-Learning-/RL_Module/models/dqn_vs_ddqn_A_standard_dqn_s2024/dqn_10000_steps.zip,0.5163638047165036,0.6597948618936544,0.244,0.5968869510061705,2.452800701535585,0.0
A_standard_dqn,Standard DQN (A),2024,mixed,single_canonical,Single Canonical Student,/Users/mayoy/Documents/GitHub/AI-Driven-Emotion-Recognition-for-Adaptive-Learning-/RL_Module/models/dqn_vs_ddqn_A_standard_dqn_s2024/dqn_10000_steps.zip,0.5536611173508657,0.687144284212241,0.168,0.6055952499889873,2.5086346001913142,0.0
A_standard_dqn,Standard DQN (A),5555,mixed,mixed,Mixed Population,/Users/mayoy/Documents/GitHub/AI-Driven-Emotion-Recognition-for-Adaptive-Learning-/RL_Module/models/dqn_vs_ddqn_A_standard_dqn_s5555/dqn_40000_steps.zip,0.5790964026190875,0.7035624181860348,0.37,0.4981705285801751,1.897716300744838,0.0
A_standard_dqn,Standard DQN (A),5555,mixed,single_canonical,Single Canonical Student,/Users/mayoy/Documents/GitHub/AI-Driven-Emotion-Recognition-for-Adaptive-Learning-/RL_Module/models/dqn_vs_ddqn_A_standard_dqn_s5555/dqn_40000_steps.zip,0.6711924286416897,0.7710656740459667,0.37,0.5934611240686697,1.794031433651811,0.0
A_standard_dqn,Standard DQN (A),8888,mixed,mixed,Mixed Population,/Users/mayoy/Documents/GitHub/AI-Driven-Emotion-Recognition-for-Adaptive-Learning-/RL_Module/models/dqn_vs_ddqn_A_standard_dqn_s8888/dqn_20000_steps.zip,0.4388762620230658,0.610159645050549,0.112,0.5008273646850044,2.4125435021442856,0.0
A_standard_dqn,Standard DQN (A),8888,mixed,single_canonical,Single Canonical Student,/Users/mayoy/Documents/GitHub/AI-Driven-Emotion-Recognition-for-Adaptive-Learning-/RL_Module/models/dqn_vs_ddqn_A_standard_dqn_s8888/dqn_20000_steps.zip,0.4748018790084956,0.6364856480344103,0.074,0.50148,2.394142782808156,0.0
A_standard_dqn,Standard DQN (A),9999,mixed,mixed,Mixed Population,/Users/mayoy/Documents/GitHub/AI-Driven-Emotion-Recognition-for-Adaptive-Learning-/RL_Module/models/dqn_vs_ddqn_A_standard_dqn_s9999/dqn_10000_steps.zip,0.588546224926793,0.7155229760745001,0.334,0.7078739641863572,2.069414896499481,0.0
A_standard_dqn,Standard DQN (A),9999,mixed,single_canonical,Single Canonical Student,/Users/mayoy/Documents/GitHub/AI-Driven-Emotion-Recognition-for-Adaptive-Learning-/RL_Module/models/dqn_vs_ddqn_A_standard_dqn_s9999/dqn_10000_steps.zip,0.659775131464505,0.7639440803097305,0.35,0.7409008619483561,2.048496078355598,0.0
A_standard_dqn,Standard DQN (A),10101,mixed,mixed,Mixed Population,/Users/mayoy/Documents/GitHub/AI-Driven-Emotion-Recognition-for-Adaptive-Learning-/RL_Module/models/dqn_vs_ddqn_A_standard_dqn_s10101/dqn_10000_steps.zip,0.5833545907821648,0.7090421364985534,0.358,0.5989233672547867,2.35647076780104,0.0
A_standard_dqn,Standard DQN (A),10101,mixed,single_canonical,Single Canonical Student,/Users/mayoy/Documents/GitHub/AI-Driven-Emotion-Recognition-for-Adaptive-Learning-/RL_Module/models/dqn_vs_ddqn_A_standard_dqn_s10101/dqn_10000_steps.zip,0.63552526636523,0.7465983190700061,0.288,0.6009398902609475,2.337537014696414,0.0
A_standard_dqn,Standard DQN (A),20202,mixed,mixed,Mixed Population,/Users/mayoy/Documents/GitHub/AI-Driven-Emotion-Recognition-for-Adaptive-Learning-/RL_Module/models/dqn_vs_ddqn_A_standard_dqn_s20202/dqn_50000_steps.zip,0.5101000819002289,0.6596024345858573,0.238,0.4675279739017718,2.1842527204909,0.0
A_standard_dqn,Standard DQN (A),20202,mixed,single_canonical,Single Canonical Student,/Users/mayoy/Documents/GitHub/AI-Driven-Emotion-Recognition-for-Adaptive-Learning-/RL_Module/models/dqn_vs_ddqn_A_standard_dqn_s20202/dqn_50000_steps.zip,0.5657259085271212,0.6988137323798074,0.198,0.4850655661881978,2.152094957738741,0.0
A_standard_dqn,Standard DQN (A),30303,mixed,mixed,Mixed Population,/Users/mayoy/Documents/GitHub/AI-Driven-Emotion-Recognition-for-Adaptive-Learning-/RL_Module/models/dqn_vs_ddqn_A_standard_dqn_s30303/dqn_30000_steps.zip,0.4593548554019511,0.620396803715953,0.126,0.3778376950354609,2.4222474532073446,0.0
A_standard_dqn,Standard DQN (A),30303,mixed,single_canonical,Single Canonical Student,/Users/mayoy/Documents/GitHub/AI-Driven-Emotion-Recognition-for-Adaptive-Learning-/RL_Module/models/dqn_vs_ddqn_A_standard_dqn_s30303/dqn_30000_steps.zip,0.4884228319003682,0.6401630537245777,0.074,0.3607945153664302,2.4437495005390213,0.0
A_standard_dqn,Standard DQN (A),4242,mixed,mixed,Mixed Population,/Users/mayoy/Documents/GitHub/AI-Driven-Emotion-Recognition-for-Adaptive-Learning-/RL_Module/models/dqn_vs_ddqn_A_standard_dqn_s4242/dqn_50000_steps.zip,0.4863306053202346,0.6453617020249585,0.204,0.2450889171475803,2.121942019384066,0.0
A_standard_dqn,Standard DQN (A),4242,mixed,single_canonical,Single Canonical Student,/Users/mayoy/Documents/GitHub/AI-Driven-Emotion-Recognition-for-Adaptive-Learning-/RL_Module/models/dqn_vs_ddqn_A_standard_dqn_s4242/dqn_50000_steps.zip,0.5667913342906605,0.6995791791917568,0.206,0.2797150492902261,2.0094251950981885,0.0
B_double_dqn,Double DQN (B),13,mixed,mixed,Mixed Population,/Users/mayoy/Documents/GitHub/AI-Driven-Emotion-Recognition-for-Adaptive-Learning-/RL_Module/models/dqn_vs_ddqn_B_double_dqn_s13/double_dqn_50000_steps.zip,0.5186230993198733,0.6712295065408168,0.282,0.6149467695024374,2.4979802339266763,0.0
B_double_dqn,Double DQN (B),13,mixed,single_canonical,Single Canonical Student,/Users/mayoy/Documents/GitHub/AI-Driven-Emotion-Recognition-for-Adaptive-Learning-/RL_Module/models/dqn_vs_ddqn_B_double_dqn_s13/double_dqn_50000_steps.zip,0.5712293958211414,0.7040896878642348,0.228,0.6346510995022684,2.480393939652587,0.0
B_double_dqn,Double DQN (B),21,mixed,mixed,Mixed Population,/Users/mayoy/Documents/GitHub/AI-Driven-Emotion-Recognition-for-Adaptive-Learning-/RL_Module/models/dqn_vs_ddqn_B_double_dqn_s21/double_dqn_10000_steps.zip,0.6188717820336073,0.7370086563785708,0.39,0.5514119001931658,2.195809837043479,0.0
B_double_dqn,Double DQN (B),21,mixed,single_canonical,Single Canonical Student,/Users/mayoy/Documents/GitHub/AI-Driven-Emotion-Recognition-for-Adaptive-Learning-/RL_Module/models/dqn_vs_ddqn_B_double_dqn_s21/double_dqn_10000_steps.zip,0.6638284903526991,0.7664470032248194,0.366,0.576906807981309,2.179600160697875,0.0
B_double_dqn,Double DQN (B),99,mixed,mixed,Mixed Population,/Users/mayoy/Documents/GitHub/AI-Driven-Emotion-Recognition-for-Adaptive-Learning-/RL_Module/models/dqn_vs_ddqn_B_double_dqn_s99/double_dqn_10000_steps.zip,0.4729423831091534,0.6386624798606807,0.178,0.4403838923549493,2.1563541425767108,0.0
B_double_dqn,Double DQN (B),99,mixed,single_canonical,Single Canonical Student,/Users/mayoy/Documents/GitHub/AI-Driven-Emotion-Recognition-for-Adaptive-Learning-/RL_Module/models/dqn_vs_ddqn_B_double_dqn_s99/double_dqn_10000_steps.zip,0.4871171479645715,0.6491883241820412,0.096,0.395768338198826,1.89658359994394,0.0
B_double_dqn,Double DQN (B),314,mixed,mixed,Mixed Population,/Users/mayoy/Documents/GitHub/AI-Driven-Emotion-Recognition-for-Adaptive-Learning-/RL_Module/models/dqn_vs_ddqn_B_double_dqn_s314/double_dqn_50000_steps.zip,0.5483618795855663,0.6828199871492668,0.348,0.7427933857767863,2.2183437486444113,0.0
B_double_dqn,Double DQN (B),314,mixed,single_canonical,Single Canonical Student,/Users/mayoy/Documents/GitHub/AI-Driven-Emotion-Recognition-for-Adaptive-Learning-/RL_Module/models/dqn_vs_ddqn_B_double_dqn_s314/double_dqn_50000_steps.zip,0.5709790921845997,0.6969486260142937,0.258,0.7561863235853471,2.1565737876173,0.0
B_double_dqn,Double DQN (B),555,mixed,mixed,Mixed Population,/Users/mayoy/Documents/GitHub/AI-Driven-Emotion-Recognition-for-Adaptive-Learning-/RL_Module/models/dqn_vs_ddqn_B_double_dqn_s555/double_dqn_40000_steps.zip,0.6323595773961341,0.7380265571377406,0.424,0.974074739229025,1.3154748758056496,0.0
B_double_dqn,Double DQN (B),555,mixed,single_canonical,Single Canonical Student,/Users/mayoy/Documents/GitHub/AI-Driven-Emotion-Recognition-for-Adaptive-Learning-/RL_Module/models/dqn_vs_ddqn_B_double_dqn_s555/double_dqn_40000_steps.zip,0.6948366434582451,0.7866401926312828,0.428,0.989043551938055,1.3644099859120875,0.0
B_double_dqn,Double DQN (B),777,mixed,mixed,Mixed Population,/Users/mayoy/Documents/GitHub/AI-Driven-Emotion-Recognition-for-Adaptive-Learning-/RL_Module/models/dqn_vs_ddqn_B_double_dqn_s777/double_dqn_40000_steps.zip,0.594637610572777,0.7137742411978198,0.328,0.8154829182096485,1.4957694106994626,0.0
B_double_dqn,Double DQN (B),777,mixed,single_canonical,Single Canonical Student,/Users/mayoy/Documents/GitHub/AI-Driven-Emotion-Recognition-for-Adaptive-Learning-/RL_Module/models/dqn_vs_ddqn_B_double_dqn_s777/double_dqn_40000_steps.zip,0.6632414847339212,0.760708633686942,0.36,0.887252753331977,1.4378953729540251,0.0
B_double_dqn,Double DQN (B),888,mixed,mixed,Mixed Population,/Users/mayoy/Documents/GitHub/AI-Driven-Emotion-Recognition-for-Adaptive-Learning-/RL_Module/models/dqn_vs_ddqn_B_double_dqn_s888/double_dqn_30000_steps.zip,0.599444252210587,0.7217420742307752,0.392,0.6515696593013159,2.326025687204314,0.0
B_double_dqn,Double DQN (B),888,mixed,single_canonical,Single Canonical Student,/Users/mayoy/Documents/GitHub/AI-Driven-Emotion-Recognition-for-Adaptive-Learning-/RL_Module/models/dqn_vs_ddqn_B_double_dqn_s888/double_dqn_30000_steps.zip,0.6548318387238649,0.7581903401220119,0.336,0.6618103846981176,2.275759639964692,0.0
B_double_dqn,Double DQN (B),999,mixed,mixed,Mixed Population,/Users/mayoy/Documents/GitHub/AI-Driven-Emotion-Recognition-for-Adaptive-Learning-/RL_Module/models/dqn_vs_ddqn_B_double_dqn_s999/double_dqn_30000_steps.zip,0.5835336916438004,0.708721026009448,0.34,0.7558829934216666,2.0297106211378706,0.0
B_double_dqn,Double DQN (B),999,mixed,single_canonical,Single Canonical Student,/Users/mayoy/Documents/GitHub/AI-Driven-Emotion-Recognition-for-Adaptive-Learning-/RL_Module/models/dqn_vs_ddqn_B_double_dqn_s999/double_dqn_30000_steps.zip,0.6674763580039923,0.7682703189382758,0.368,0.8096770156700139,1.960233957829684,0.0
B_double_dqn,Double DQN (B),500,mixed,mixed,Mixed Population,/Users/mayoy/Documents/GitHub/AI-Driven-Emotion-Recognition-for-Adaptive-Learning-/RL_Module/models/dqn_vs_ddqn_B_double_dqn_s500/double_dqn_10000_steps.zip,0.6053570646571548,0.7231133094905923,0.386,0.553632237950726,2.398445970417106,0.0
B_double_dqn,Double DQN (B),500,mixed,single_canonical,Single Canonical Student,/Users/mayoy/Documents/GitHub/AI-Driven-Emotion-Recognition-for-Adaptive-Learning-/RL_Module/models/dqn_vs_ddqn_B_double_dqn_s500/double_dqn_10000_steps.zip,0.6475853430969516,0.7501633886277795,0.316,0.559939834429844,2.3864920872812525,0.0
B_double_dqn,Double DQN (B),1234,mixed,mixed,Mixed Population,/Users/mayoy/Documents/GitHub/AI-Driven-Emotion-Recognition-for-Adaptive-Learning-/RL_Module/models/dqn_vs_ddqn_B_double_dqn_s1234/double_dqn_20000_steps.zip,0.4792634791277915,0.6374205865306619,0.188,0.5685351867315928,2.3620476755309783,0.0
B_double_dqn,Double DQN (B),1234,mixed,single_canonical,Single Canonical Student,/Users/mayoy/Documents/GitHub/AI-Driven-Emotion-Recognition-for-Adaptive-Learning-/RL_Module/models/dqn_vs_ddqn_B_double_dqn_s1234/double_dqn_20000_steps.zip,0.5533344109593596,0.6881624332663137,0.172,0.5926656053403709,2.368902391631488,0.0
B_double_dqn,Double DQN (B),2024,mixed,mixed,Mixed Population,/Users/mayoy/Documents/GitHub/AI-Driven-Emotion-Recognition-for-Adaptive-Learning-/RL_Module/models/dqn_vs_ddqn_B_double_dqn_s2024/double_dqn_10000_steps.zip,0.5714888143230935,0.6986483309697229,0.342,0.7068926273957924,2.391167433896996,0.0
