configuration,configuration_label,algorithm,learning_gain_mean,learning_gain_std,coefficient_of_variation,success_rate_mean,adaptation_accuracy_mean,action_entropy_mean,dominant_action_pct_mean,mean_q_value_mean,overestimation_bias_mean,rank
B_double_dqn,Double DQN (B),DoubleDQN,0.5634,0.0518,0.0919,0.3272,0.6554,1.3937,0.4343,0.5003,-0.4114,1
A_standard_dqn,Standard DQN (A),DQN,0.5394,0.0642,0.119,0.284,0.5915,1.3825,0.4157,0.8348,-0.0472,2
